score_id,student_id,course_id,exam_type_id,exam_name,exam_date,score,score_level,ranking,teacher_id,comments,difficulty,completion_status
21,1,6,1,生物期中考试,2025-09-20,45.6,E,372.0,9,生物期中考试表现E级,简单,完整
22,1,6,2,生物期末考试,2025-04-06,48.9,E,400.0,4,生物期末考试表现E级,困难,完整
23,1,6,3,生物月考,2024-11-01,80.9,B,,4,生物月考表现B级,简单,完整
24,1,6,4,生物单元测试,2024-04-12,64.9,D,38.0,1,生物单元测试表现D级,中等,完整
25,1,7,1,历史期中考试,2024-08-24,65.1,D,397.0,3,历史期中考试表现D级,简单,完整
26,1,7,2,历史期末考试,2025-03-26,79.9,A,,1,历史期末考试表现A级,简单,部分未完成
27,1,7,3,历史月考,2025-05-18,49.6,E,490.0,1,历史月考表现E级,简单,完整
28,1,7,4,历史单元测试,2024-04-22,50.0,E,208.0,8,历史单元测试表现E级,简单,部分未完成
29,1,8,1,地理期中考试,2025-12-24,62.2,D,235.0,3,地理期中考试表现D级,中等,部分未完成
30,1,8,2,地理期末考试,2025-08-04,68.7,D,177.0,1,地理期末考试表现D级,困难,部分未完成
31,1,8,3,地理月考,2025-10-18,67.7,D,103.0,6,地理月考表现D级,中等,完整
32,1,8,4,地理单元测试,2024-07-26,95.2,A,93.0,4,地理单元测试表现A级,中等,完整
33,1,9,1,政治期中考试,2025-07-19,72.7,C,312.0,4,政治期中考试表现C级,中等,全部完成
34,1,9,2,政治期末考试,2024-03-11,66.6,D,438.0,6,政治期末考试表现D级,中等,完整
35,1,9,3,政治月考,2024-08-19,82.9,B,246.0,5,政治月考表现B级,困难,完整
36,1,9,4,政治单元测试,2024-05-11,46.1,E,17.0,8,政治单元测试表现E级,中等,全部完成
37,1,10,1,体育期中考试,2025-03-08,83.5,B,382.0,5,体育期中考试表现B级,简单,完整
38,1,10,2,体育期末考试,2025-12-15,67.0,D,300.0,1,体育期末考试表现D级,中等,完整
39,1,10,3,体育月考,2024-12-14,59.3,B,28.0,5,体育月考表现B级,简单,完整
40,1,10,4,体育单元测试,2025-09-03,48.4,E,64.0,2,体育单元测试表现E级,中等,完整
41,1,13,1,信息技术期中考试,2025-02-23,92.5,A,24.0,4,信息技术期中考试表现A级,简单,完整
42,1,13,2,信息技术期末考试,2025-03-07,57.3,E,174.0,6,信息技术期末考试表现E级,中等,完整
43,1,13,3,信息技术月考,2024-03-29,91.0,A,348.0,5,信息技术月考表现A级,中等,完整
44,1,13,4,信息技术单元测试,2025-08-21,57.2,E,363.0,3,信息技术单元测试表现E级,简单,完整
45,2,1,1,语文期中考试,2024-03-12,50.5,E,210.0,3,语文期中考试表现E级,简单,部分未完成
46,2,1,2,语文期末考试,2025-04-07,49.3,E,62.0,8,语文期末考试表现E级,困难,完整
47,2,1,3,语文月考,2025-09-15,88.4,B,467.0,1,语文月考表现B级,中等,完整
48,2,1,4,语文单元测试,2024-06-17,70.8,C,333.0,6,语文单元测试表现C级,中等,完整
49,2,2,1,数学期中考试,2024-06-30,88.2,B,345.0,8,数学期中考试表现B级,中等,全部完成
50,2,2,2,数学期末考试,2025-04-17,80.2,B,53.0,10,数学期末考试表现B级,困难,部分未完成
51,2,2,3,数学月考,2025-04-20,57.0,E,434.0,10,数学月考表现E级,中等,全部完成
52,2,2,4,数学单元测试,2025-12-20,76.2,C,363.0,3,数学单元测试表现C级,困难,全部完成
53,2,3,1,英语期中考试,2025-02-18,96.6,A,455.0,9,英语期中考试表现A级,中等,全部完成
54,2,3,2,英语期末考试,2024-08-08,93.5,A,204.0,1,英语期末考试表现A级,中等,全部完成
55,2,3,3,英语月考,2025-03-27,74.8,C,227.0,3,英语月考表现C级,中等,完整
56,2,3,4,英语单元测试,2025-08-17,63.2,D,243.0,10,,中等,完整
57,2,4,1,物理期中考试,2024-05-13,76.5,C,250.0,9,物理期中考试表现C级,困难,完整
58,2,4,2,物理期末考试,2024-07-15,78.2,C,146.0,1,物理期末考试表现C级,困难,完整
59,2,4,3,物理月考,2025-03-13,45.5,E,4.0,9,物理月考表现E级,简单,部分未完成
60,2,4,4,物理单元测试,2024-04-29,84.7,B,200.0,1,物理单元测试表现B级,困难,全部完成
61,2,5,1,化学期中考试,2025-07-15,95.3,A,,5,化学期中考试表现A级,中等,部分未完成
62,2,5,2,化学期末考试,2025-04-06,78.1,C,277.0,9,化学期末考试表现C级,困难,完整
63,2,5,3,化学月考,2025-10-20,90.5,A,413.0,9,化学月考表现A级,中等,完整
64,2,5,4,化学单元测试,2024-04-13,57.7,E,98.0,9,化学单元测试表现E级,中等,部分未完成
65,2,6,1,生物期中考试,2025-12-19,48.3,E,155.0,1,生物期中考试表现E级,简单,完整
66,2,6,2,生物期末考试,2024-08-26,55.0,E,,5,生物期末考试表现E级,中等,完整
67,2,6,3,生物月考,2025-12-26,86.5,B,132.0,7,生物月考表现B级,困难,完整
68,2,6,4,生物单元测试,2025-08-20,83.8,B,414.0,1,生物单元测试表现B级,中等,完整
69,2,7,1,历史期中考试,2025-10-29,48.5,E,211.0,1,历史期中考试表现E级,简单,部分未完成
70,2,7,2,历史期末考试,2024-06-16,97.3,A,77.0,2,历史期末考试表现A级,中等,完整
71,2,7,3,历史月考,2025-02-22,94.3,A,123.0,7,历史月考表现A级,中等,全部完成
72,2,7,4,历史单元测试,2024-09-21,82.5,B,85.0,6,历史单元测试表现B级,中等,完整
73,2,8,1,地理期中考试,2025-12-02,57.4,E,83.0,1,地理期中考试表现E级,中等,完整
74,2,8,2,地理期末考试,2025-04-17,93.1,A,132.0,5,地理期末考试表现A级,简单,完整
75,2,8,3,地理月考,2024-04-07,60.2,D,83.0,4,地理月考表现D级,中等,全部完成
76,2,8,4,地理单元测试,2024-12-26,85.2,B,230.0,10,地理单元测试表现B级,中等,部分未完成
77,2,9,1,政治期中考试,2024-04-12,84.3,B,104.0,8,政治期中考试表现B级,中等,全部完成
78,2,9,2,政治期末考试,2025-10-10,91.6,A,42.0,6,政治期末考试表现A级,简单,完整
79,2,9,3,政治月考,2024-12-14,75.4,C,190.0,5,政治月考表现C级,简单,部分未完成
80,2,9,4,政治单元测试,2024-07-13,95.0,A,124.0,2,政治单元测试表现A级,中等,部分未完成
81,2,10,1,体育期中考试,2024-11-12,75.4,C,352.0,7,,简单,完整
82,2,10,2,体育期末考试,2024-09-29,93.8,A,2.0,8,体育期末考试表现A级,简单,完整
83,2,10,3,体育月考,2025-10-03,77.1,C,58.0,2,体育月考表现C级,简单,完整
84,2,10,4,体育单元测试,2024-05-07,85.3,B,484.0,8,体育单元测试表现B级,困难,完整
85,2,13,1,信息技术期中考试,2024-03-12,80.8,B,453.0,4,信息技术期中考试表现B级,困难,部分未完成
86,2,13,2,信息技术期末考试,2024-11-03,78.0,C,353.0,9,信息技术期末考试表现C级,困难,完整
87,2,13,3,信息技术月考,2025-11-14,50.0,E,,5,信息技术月考表现E级,困难,完整
88,2,13,4,信息技术单元测试,2024-12-29,45.9,E,,2,信息技术单元测试表现E级,中等,完整
89,3,1,1,语文期中考试,2024-01-21,74.1,C,353.0,1,语文期中考试表现C级,困难,部分未完成
90,3,1,2,语文期末考试,2024-02-29,83.9,B,,8,语文期末考试表现B级,中等,全部完成
91,3,1,3,语文月考,2024-03-13,48.5,E,437.0,6,语文月考表现E级,中等,完整
92,3,1,4,语文单元测试,2025-12-29,72.3,C,484.0,2,语文单元测试表现C级,困难,全部完成
93,3,2,1,数学期中考试,2024-01-27,84.7,B,429.0,5,数学期中考试表现B级,中等,完整
94,3,2,2,数学期末考试,2025-05-17,48.4,E,,4,数学期末考试表现E级,简单,部分未完成
95,3,2,3,数学月考,2024-05-23,73.3,C,246.0,2,数学月考表现C级,中等,全部完成
96,3,2,4,数学单元测试,2024-08-12,65.5,D,309.0,1,数学单元测试表现D级,中等,全部完成
97,3,3,1,英语期中考试,2025-08-16,85.4,B,345.0,9,英语期中考试表现B级,中等,完整
98,3,3,2,英语期末考试,2025-01-20,87.7,B,57.0,10,英语期末考试表现B级,中等,全部完成
99,3,3,3,英语月考,2025-03-15,84.9,B,345.0,3,英语月考表现B级,中等,完整
100,3,3,4,英语单元测试,2025-09-19,98.0,A,118.0,7,,中等,完整
101,3,4,1,物理期中考试,2024-09-18,53.2,E,270.0,1,物理期中考试表现E级,简单,完整
102,3,4,2,物理期末考试,2025-08-18,96.2,A,494.0,1,物理期末考试表现A级,困难,完整
103,3,4,3,物理月考,2025-06-11,77.3,C,187.0,3,物理月考表现C级,中等,全部完成
104,3,4,4,物理单元测试,2025-05-04,73.2,C,275.0,2,物理单元测试表现C级,中等,完整
105,3,5,1,化学期中考试,2025-07-18,68.0,D,299.0,4,化学期中考试表现D级,困难,完整
106,3,5,2,化学期末考试,2024-01-14,56.3,E,380.0,3,化学期末考试表现E级,中等,完整
107,3,5,3,化学月考,2025-06-13,83.5,B,22.0,2,化学月考表现B级,中等,部分未完成
108,3,5,4,化学单元测试,2025-09-19,68.3,D,3.0,7,,简单,完整
109,3,6,1,生物期中考试,2024-05-06,53.2,E,80.0,3,生物期中考试表现E级,简单,完整
110,3,6,2,生物期末考试,2024-11-03,60.2,D,,5,生物期末考试表现D级,中等,完整
111,3,6,3,生物月考,2024-06-02,94.7,A,386.0,1,生物月考表现A级,困难,完整
112,3,6,4,生物单元测试,2025-03-28,45.1,E,481.0,6,生物单元测试表现E级,简单,完整
113,3,7,1,历史期中考试,2024-09-12,75.2,C,101.0,5,历史期中考试表现C级,中等,完整
114,3,7,2,历史期末考试,2025-02-15,53.2,E,261.0,9,历史期末考试表现E级,中等,部分未完成
115,3,7,3,历史月考,2025-10-09,57.2,E,341.0,3,历史月考表现E级,中等,部分未完成
116,3,7,4,历史单元测试,2025-10-13,87.8,B,236.0,1,,困难,完整
117,3,8,1,地理期中考试,2025-06-19,85.1,B,256.0,4,地理期中考试表现B级,中等,全部完成
118,3,8,2,地理期末考试,2024-07-28,82.2,B,252.0,9,地理期末考试表现B级,困难,部分未完成
119,3,8,3,地理月考,2024-10-15,75.5,C,29.0,4,,中等,完整
120,3,8,4,地理单元测试,2024-02-17,53.0,E,343.0,4,地理单元测试表现E级,简单,完整
121,3,9,1,政治期中考试,2024-08-08,65.2,D,83.0,3,政治期中考试表现D级,困难,部分未完成
122,3,9,2,政治期末考试,2025-07-11,53.2,E,,4,政治期末考试表现E级,中等,完整
123,3,9,3,政治月考,2024-02-29,68.9,D,188.0,6,政治月考表现D级,困难,全部完成
124,3,9,4,政治单元测试,2025-02-26,66.6,D,449.0,1,政治单元测试表现D级,简单,完整
125,3,10,1,体育期中考试,2025-05-08,62.6,D,442.0,6,体育期中考试表现D级,中等,完整
126,3,10,2,体育期末考试,2025-07-09,54.1,E,462.0,7,体育期末考试表现E级,中等,全部完成
127,3,10,3,体育月考,2024-10-21,88.9,B,495.0,4,体育月考表现B级,中等,完整
128,3,10,4,体育单元测试,2024-02-18,79.6,A,403.0,6,,中等,全部完成
129,3,13,1,信息技术期中考试,2024-03-28,55.6,E,251.0,7,信息技术期中考试表现E级,简单,全部完成
130,3,13,2,信息技术期末考试,2024-03-14,91.7,A,109.0,2,信息技术期末考试表现A级,简单,全部完成
131,3,13,3,信息技术月考,2025-06-11,71.9,C,387.0,1,信息技术月考表现C级,简单,部分未完成
132,3,13,4,信息技术单元测试,2024-03-14,78.3,C,330.0,2,信息技术单元测试表现C级,简单,全部完成
133,4,1,1,语文期中考试,2024-12-29,95.1,A,343.0,3,语文期中考试表现A级,困难,完整
134,4,1,2,语文期末考试,2025-08-21,85.7,B,222.0,3,语文期末考试表现B级,简单,完整
135,4,1,3,语文月考,2024-08-19,69.3,B,274.0,10,语文月考表现B级,中等,部分未完成
136,4,1,4,语文单元测试,2024-02-20,50.5,E,108.0,9,语文单元测试表现E级,简单,完整
137,4,2,1,数学期中考试,2025-05-21,81.6,B,387.0,4,数学期中考试表现B级,中等,完整
138,4,2,2,数学期末考试,2025-03-05,69.4,B,102.0,1,,中等,部分未完成
139,4,2,3,数学月考,2024-10-22,85.2,B,246.0,1,数学月考表现B级,中等,完整
140,4,2,4,数学单元测试,2025-11-26,54.7,E,,8,数学单元测试表现E级,中等,完整
141,4,3,1,英语期中考试,2024-05-30,68.4,D,350.0,5,英语期中考试表现D级,困难,完整
142,4,3,2,英语期末考试,2024-08-27,70.4,C,181.0,5,英语期末考试表现C级,中等,完整
143,4,3,3,英语月考,2024-10-25,83.8,B,122.0,2,英语月考表现B级,困难,完整
144,4,3,4,英语单元测试,2025-08-02,94.9,A,193.0,1,英语单元测试表现A级,简单,全部完成
145,4,4,1,物理期中考试,2024-01-01,80.9,B,171.0,5,物理期中考试表现B级,中等,部分未完成
146,4,4,2,物理期末考试,2024-07-17,77.3,C,264.0,9,,中等,完整
147,4,4,3,物理月考,2025-06-03,68.9,D,,8,物理月考表现D级,中等,部分未完成
148,4,4,4,物理单元测试,2025-04-11,58.4,E,450.0,10,物理单元测试表现E级,困难,全部完成
149,4,5,1,化学期中考试,2024-04-17,74.8,C,416.0,3,化学期中考试表现C级,中等,完整
150,4,5,2,化学期末考试,2024-06-09,92.6,A,400.0,7,化学期末考试表现A级,中等,部分未完成
151,4,5,3,化学月考,2024-11-28,51.0,E,205.0,3,化学月考表现E级,中等,完整
152,4,5,4,化学单元测试,2024-09-03,97.5,A,341.0,7,,困难,完整
153,4,6,1,生物期中考试,2024-02-07,69.5,D,38.0,8,,中等,全部完成
154,4,6,2,生物期末考试,2025-06-16,58.1,E,360.0,4,生物期末考试表现E级,简单,部分未完成
155,4,6,3,生物月考,2025-05-12,53.4,E,11.0,7,,简单,完整
156,4,6,4,生物单元测试,2025-06-12,56.7,E,9.0,9,生物单元测试表现E级,困难,部分未完成
157,4,7,1,历史期中考试,2024-04-05,70.9,C,303.0,1,历史期中考试表现C级,中等,完整
158,4,7,2,历史期末考试,2024-01-06,70.9,C,209.0,2,历史期末考试表现C级,困难,完整
159,4,7,3,历史月考,2024-09-19,89.5,E,499.0,4,历史月考表现E级,简单,完整
160,4,7,4,历史单元测试,2024-03-14,50.7,E,328.0,4,历史单元测试表现E级,中等,完整
161,4,8,1,地理期中考试,2024-11-11,55.3,E,327.0,8,地理期中考试表现E级,中等,全部完成
162,4,8,2,地理期末考试,2025-06-03,97.8,A,69.0,8,地理期末考试表现A级,困难,完整
163,4,8,3,地理月考,2024-06-12,55.8,E,393.0,3,地理月考表现E级,中等,完整
164,4,8,4,地理单元测试,2025-02-12,79.1,D,42.0,4,地理单元测试表现D级,困难,完整
165,4,9,1,政治期中考试,2025-08-12,89.3,B,203.0,6,政治期中考试表现B级,中等,完整
166,4,9,2,政治期末考试,2025-08-13,65.2,D,211.0,2,政治期末考试表现D级,中等,完整
167,4,9,3,政治月考,2024-05-18,53.1,E,491.0,7,政治月考表现E级,简单,完整
168,4,9,4,政治单元测试,2024-11-13,83.8,B,245.0,3,政治单元测试表现B级,简单,完整
169,4,10,1,体育期中考试,2025-03-09,50.5,E,459.0,1,体育期中考试表现E级,简单,完整
170,4,10,2,体育期末考试,2024-10-14,92.0,A,,2,体育期末考试表现A级,中等,完整
171,4,10,3,体育月考,2025-09-07,67.1,D,385.0,4,体育月考表现D级,简单,全部完成
172,4,10,4,体育单元测试,2025-08-07,52.2,E,175.0,10,体育单元测试表现E级,中等,完整
173,4,13,1,信息技术期中考试,2024-06-16,72.2,C,127.0,7,信息技术期中考试表现C级,简单,完整
174,4,13,2,信息技术期末考试,2025-12-02,83.9,B,406.0,9,信息技术期末考试表现B级,简单,完整
175,4,13,3,信息技术月考,2024-05-31,86.9,B,97.0,8,信息技术月考表现B级,困难,完整
176,4,13,4,信息技术单元测试,2025-03-27,86.3,B,473.0,4,信息技术单元测试表现B级,简单,完整
177,5,1,1,语文期中考试,2024-09-30,49.8,E,133.0,4,语文期中考试表现E级,中等,全部完成
178,5,1,2,语文期末考试,2025-10-04,60.0,D,32.0,10,语文期末考试表现D级,困难,完整
179,5,1,3,语文月考,2024-06-05,55.4,E,244.0,9,语文月考表现E级,简单,完整
180,5,1,4,语文单元测试,2025-11-11,91.9,A,213.0,8,语文单元测试表现A级,困难,部分未完成
181,5,2,1,数学期中考试,2024-05-31,75.0,C,188.0,2,数学期中考试表现C级,中等,完整
182,5,2,2,数学期末考试,2025-05-03,87.0,B,367.0,6,数学期末考试表现B级,简单,完整
183,5,2,3,数学月考,2024-05-15,82.9,B,288.0,9,数学月考表现B级,中等,完整
184,5,2,4,数学单元测试,2024-07-31,89.6,A,,5,数学单元测试表现A级,困难,全部完成
185,5,3,1,英语期中考试,2025-11-03,55.8,E,460.0,6,英语期中考试表现E级,中等,完整
186,5,3,2,英语期末考试,2024-12-10,67.5,D,182.0,9,英语期末考试表现D级,中等,完整
187,5,3,3,英语月考,2024-06-16,48.4,E,23.0,6,英语月考表现E级,中等,完整
188,5,3,4,英语单元测试,2025-11-02,87.4,B,272.0,3,英语单元测试表现B级,中等,全部完成
189,5,4,1,物理期中考试,2025-05-24,67.6,D,359.0,5,,简单,完整
190,5,4,2,物理期末考试,2025-10-22,93.1,A,39.0,4,物理期末考试表现A级,困难,全部完成
191,5,4,3,物理月考,2025-08-14,49.5,E,295.0,3,物理月考表现E级,中等,完整
192,5,4,4,物理单元测试,2025-10-28,54.9,E,409.0,6,物理单元测试表现E级,中等,部分未完成
193,5,5,1,化学期中考试,2024-06-01,96.3,A,329.0,7,化学期中考试表现A级,困难,全部完成
194,5,5,2,化学期末考试,2025-09-30,83.6,B,32.0,1,化学期末考试表现B级,困难,完整
195,5,5,3,化学月考,2024-02-15,73.5,C,391.0,9,化学月考表现C级,简单,完整
196,5,5,4,化学单元测试,2025-05-08,51.6,E,117.0,8,化学单元测试表现E级,简单,全部完成
197,5,6,1,生物期中考试,2024-02-07,59.6,C,440.0,10,生物期中考试表现C级,中等,完整
198,5,6,2,生物期末考试,2025-04-03,50.8,E,366.0,10,生物期末考试表现E级,中等,完整
199,5,6,3,生物月考,2024-01-15,60.6,D,149.0,8,,简单,完整
200,5,6,4,生物单元测试,2024-11-16,81.5,B,401.0,8,生物单元测试表现B级,中等,全部完成
201,5,7,1,历史期中考试,2024-02-27,60.5,D,18.0,6,历史期中考试表现D级,简单,完整
202,5,7,2,历史期末考试,2025-01-30,50.2,E,,3,历史期末考试表现E级,中等,完整
203,5,7,3,历史月考,2024-01-24,49.7,E,287.0,1,历史月考表现E级,中等,全部完成
204,5,7,4,历史单元测试,2025-03-12,85.7,B,39.0,5,历史单元测试表现B级,困难,全部完成
205,5,8,1,地理期中考试,2025-01-10,92.7,A,185.0,5,地理期中考试表现A级,中等,完整
206,5,8,2,地理期末考试,2025-03-09,50.5,E,237.0,4,地理期末考试表现E级,困难,全部完成
207,5,8,3,地理月考,2024-08-19,51.0,E,311.0,7,地理月考表现E级,中等,完整
208,5,8,4,地理单元测试,2025-12-22,60.6,D,300.0,1,地理单元测试表现D级,中等,完整
209,5,9,1,政治期中考试,2024-09-28,75.4,C,379.0,10,政治期中考试表现C级,简单,完整
210,5,9,2,政治期末考试,2024-05-16,63.3,D,391.0,6,政治期末考试表现D级,困难,完整
211,5,9,3,政治月考,2025-12-09,79.6,D,202.0,7,政治月考表现D级,中等,部分未完成
212,5,9,4,政治单元测试,2025-06-15,76.6,C,158.0,5,,中等,部分未完成
213,5,10,1,体育期中考试,2025-11-13,75.7,C,484.0,9,体育期中考试表现C级,困难,完整
214,5,10,2,体育期末考试,2024-11-25,84.8,B,392.0,5,体育期末考试表现B级,中等,全部完成
215,5,10,3,体育月考,2025-03-18,71.2,C,,4,体育月考表现C级,中等,全部完成
216,5,10,4,体育单元测试,2025-04-09,45.7,E,415.0,2,体育单元测试表现E级,简单,全部完成
217,5,13,1,信息技术期中考试,2024-12-12,88.5,B,422.0,10,信息技术期中考试表现B级,简单,部分未完成
218,5,13,2,信息技术期末考试,2025-10-23,54.5,E,172.0,2,信息技术期末考试表现E级,简单,部分未完成
219,5,13,3,信息技术月考,2024-07-05,82.8,B,308.0,5,,中等,部分未完成
220,5,13,4,信息技术单元测试,2024-03-12,50.3,E,192.0,7,信息技术单元测试表现E级,中等,完整
221,6,1,1,语文期中考试,2024-07-17,59.8,C,383.0,4,语文期中考试表现C级,困难,完整
222,6,1,2,语文期末考试,2025-02-06,51.5,E,118.0,8,语文期末考试表现E级,中等,完整
223,6,1,3,语文月考,2024-03-30,78.4,C,245.0,8,语文月考表现C级,困难,完整
224,6,1,4,语文单元测试,2025-06-01,46.8,E,466.0,2,语文单元测试表现E级,中等,完整
225,6,2,1,数学期中考试,2024-06-29,76.2,C,,1,,中等,全部完成
226,6,2,2,数学期末考试,2024-07-06,71.9,C,344.0,5,数学期末考试表现C级,简单,完整
227,6,2,3,数学月考,2025-07-27,66.1,D,378.0,9,数学月考表现D级,中等,完整
228,6,2,4,数学单元测试,2025-09-06,79.8,A,220.0,5,数学单元测试表现A级,简单,完整
229,6,3,1,英语期中考试,2025-08-01,79.9,B,398.0,1,英语期中考试表现B级,困难,完整
230,6,3,2,英语期末考试,2024-04-13,66.5,D,,1,英语期末考试表现D级,中等,全部完成
231,6,3,3,英语月考,2025-09-19,52.7,E,361.0,9,英语月考表现E级,简单,完整
232,6,3,4,英语单元测试,2024-03-17,54.6,E,61.0,3,英语单元测试表现E级,简单,完整
233,6,4,1,物理期中考试,2024-01-06,90.3,A,276.0,7,物理期中考试表现A级,中等,完整
234,6,4,2,物理期末考试,2024-03-10,70.6,C,,6,物理期末考试表现C级,困难,完整
235,6,4,3,物理月考,2025-01-26,62.7,D,368.0,5,物理月考表现D级,简单,全部完成
236,6,4,4,物理单元测试,2025-04-13,68.2,D,285.0,5,物理单元测试表现D级,中等,完整
237,6,5,1,化学期中考试,2025-06-22,47.6,E,,7,化学期中考试表现E级,困难,完整
238,6,5,2,化学期末考试,2025-09-08,89.1,B,211.0,2,化学期末考试表现B级,简单,全部完成
239,6,5,3,化学月考,2024-07-19,56.0,E,440.0,5,化学月考表现E级,困难,完整
240,6,5,4,化学单元测试,2025-09-04,61.3,D,400.0,2,化学单元测试表现D级,困难,完整
241,6,6,1,生物期中考试,2025-09-05,64.6,D,339.0,7,生物期中考试表现D级,简单,完整
242,6,6,2,生物期末考试,2024-03-08,89.7,E,193.0,2,生物期末考试表现E级,困难,完整
243,6,6,3,生物月考,2025-10-15,80.0,B,96.0,5,生物月考表现B级,中等,完整
244,6,6,4,生物单元测试,2024-11-24,60.8,D,38.0,2,生物单元测试表现D级,中等,完整
245,6,7,1,历史期中考试,2024-08-14,83.6,B,,6,历史期中考试表现B级,中等,完整
246,6,7,2,历史期末考试,2025-01-02,67.0,D,117.0,3,历史期末考试表现D级,困难,完整
247,6,7,3,历史月考,2025-09-06,94.4,A,343.0,9,,中等,全部完成
248,6,7,4,历史单元测试,2024-02-16,66.2,D,131.0,10,历史单元测试表现D级,中等,全部完成
249,6,8,1,地理期中考试,2025-12-21,88.9,B,25.0,2,,简单,全部完成
250,6,8,2,地理期末考试,2024-12-16,50.5,E,437.0,7,地理期末考试表现E级,中等,完整
251,6,8,3,地理月考,2025-06-09,51.1,E,469.0,3,地理月考表现E级,中等,完整
252,6,8,4,地理单元测试,2025-11-06,95.8,A,49.0,5,,简单,完整
253,6,9,1,政治期中考试,2024-12-06,48.1,E,171.0,5,政治期中考试表现E级,简单,完整
254,6,9,2,政治期末考试,2024-08-17,92.9,A,390.0,6,,中等,部分未完成
255,6,9,3,政治月考,2025-08-12,47.4,E,147.0,8,政治月考表现E级,中等,完整
256,6,9,4,政治单元测试,2025-11-06,53.5,E,494.0,1,政治单元测试表现E级,中等,完整
257,6,10,1,体育期中考试,2024-08-18,77.8,C,328.0,6,体育期中考试表现C级,中等,完整
258,6,10,2,体育期末考试,2025-12-18,64.1,D,492.0,4,体育期末考试表现D级,中等,完整
259,6,10,3,体育月考,2025-10-24,77.3,C,77.0,1,体育月考表现C级,困难,全部完成
260,6,10,4,体育单元测试,2024-02-03,83.8,B,356.0,8,体育单元测试表现B级,困难,全部完成
261,6,13,1,信息技术期中考试,2025-03-02,93.5,A,182.0,5,信息技术期中考试表现A级,中等,完整
262,6,13,2,信息技术期末考试,2024-04-11,66.8,D,318.0,5,信息技术期末考试表现D级,简单,部分未完成
263,6,13,3,信息技术月考,2024-03-30,73.5,C,16.0,3,信息技术月考表现C级,简单,完整
264,6,13,4,信息技术单元测试,2025-07-19,63.0,D,370.0,9,,中等,完整
265,7,1,1,语文期中考试,2025-08-18,93.4,A,225.0,1,语文期中考试表现A级,中等,全部完成
266,7,1,2,语文期末考试,2025-10-03,65.6,D,145.0,1,语文期末考试表现D级,困难,完整
267,7,1,3,语文月考,2024-04-23,54.3,E,82.0,5,语文月考表现E级,困难,完整
268,7,1,4,语文单元测试,2025-12-21,50.9,E,14.0,4,语文单元测试表现E级,中等,完整
269,7,2,1,数学期中考试,2025-12-18,51.1,E,,1,数学期中考试表现E级,简单,完整
270,7,2,2,数学期末考试,2025-10-24,90.7,A,63.0,4,数学期末考试表现A级,简单,完整
271,7,2,3,数学月考,2025-05-31,74.1,C,431.0,1,数学月考表现C级,中等,部分未完成
272,7,2,4,数学单元测试,2024-03-10,47.7,E,274.0,3,数学单元测试表现E级,困难,部分未完成
273,7,3,1,英语期中考试,2025-12-31,51.7,E,99.0,7,英语期中考试表现E级,中等,完整
274,7,3,2,英语期末考试,2025-11-05,81.4,B,53.0,9,英语期末考试表现B级,中等,全部完成
275,7,3,3,英语月考,2024-09-25,89.0,B,206.0,4,英语月考表现B级,中等,全部完成
276,7,3,4,英语单元测试,2025-02-21,95.8,A,224.0,9,英语单元测试表现A级,中等,全部完成
