student_id,student_no,first_calculus_score,second_calculus_score,third_calculus_score,calculus_avg_score,study_hours,attendance_count,homework_score,practice_count
51,20221000051,71.78,81.3,81.87,78.32,17.69,92,79.38,32
52,20221000052,23.91,73.24,65.48,54.21,15.57,93,67.39,30
53,20221000053,73.1,99.06,95.47,89.21,17.58,81,61.81,30
54,20221000054,55.32,56.38,47.65,53.12,14.52,75,60.22,17
55,20221000055,60.99,63.62,58.27,60.96,14.9,72,86.01,30
56,20221000056,40.5,45.47,59.33,48.43,21.32,84,64.95,12
57,20221000057,44.37,49.47,46.58,46.81,17.44,89,86.69,17
58,20221000058,60.49,44.31,32.77,45.86,18.64,93,88.21,28
59,20221000059,48.36,46.37,48.34,47.69,22.83,98,53.94,29
60,20221000060,80.3,100,100,93.43,25.52,86,89.25,61
61,20221000061,50.32,57.3,53.77,53.8,33.1,90,94.41,50
62,20221000062,31.54,30.63,24.53,28.9,5.1,77,52.49,22
63,20221000063,29.35,28.05,23.51,26.97,23.04,87,91.09,30
64,20221000064,47.57,22.93,29.57,33.36,18.48,83,75.22,18
65,20221000065,60.8,60.6,58.24,59.88,11.3,79,93.29,59
66,20221000066,58.29,66.69,55.51,60.16,19.27,74,100,18
67,20221000067,35.11,34.21,40.21,36.51,12.31,91,75.32,44
68,20221000068,63.34,70.02,72.61,68.66,30.41,77,70.44,24
69,20221000069,64.9,46.52,44.02,51.81,10.07,100,96.31,22
70,20221000070,53.26,54.48,62.16,56.63,16.91,75,89.8,25
71,20221000071,58.03,46.58,49.73,51.45,16.92,100,87.44,17
72,20221000072,51.09,52.84,63.7,55.88,19.78,100,62.36,11
73,20221000073,56.03,56.7,62.4,58.38,9.6,75,100,54
74,20221000074,42.51,32.86,30.06,35.14,18.57,78,41.89,52
75,20221000075,76.18,85.03,67.12,76.11,18.13,77,65.46,27
76,20221000076,44.77,33.11,41.23,39.7,19.04,80,79.56,18
77,20221000077,82.71,79.27,65.11,75.7,25.83,90,78.6,16
78,20221000078,63.28,67.88,64.54,65.23,24.98,92,60.89,25
79,20221000079,63.49,53.5,50.82,55.94,22.57,82,70.47,44
80,20221000080,55.52,77.0,67.36,66.63,11.31,83,46.93,36
81,20221000081,59.34,77.25,84.18,73.59,21.41,81,65.31,40
82,20221000082,34.81,30.34,24.54,29.9,21.96,88,74.63,21
83,20221000083,60.66,60.2,67.2,62.69,11.13,84,69.6,40
84,20221000084,50.79,57.26,69.64,59.23,28.34,96,66.87,19
85,20221000085,64.14,73.42,76.77,71.44,12.91,81,61.51,16
86,20221000086,32.23,20,20,24.08,15.15,77,77.36,60
87,20221000087,62.79,74.35,65.85,67.66,12.89,88,65.31,29
88,20221000088,70.75,74.8,68.07,71.21,16.74,89,90.29,20
89,20221000089,52.0,50.09,42.21,48.1,8.55,76,87.95,16
90,20221000090,45.12,46.8,51.15,47.69,30.28,77,46.02,15
91,20221000091,77.15,67.08,52.96,65.73,22.35,97,58.23,38
92,20221000092,70.18,100,100,90.06,17.15,65,56.97,44
93,20221000093,43.23,59.8,48.15,50.39,20.97,93,68.81,19
94,20221000094,60.58,60.44,74.09,65.04,21.46,91,57.53,28
95,20221000095,32.22,40.3,45.31,39.28,20.8,99,73.87,29
96,20221000096,63.3,51.57,56.89,57.25,16.46,95,42.87,15
97,20221000097,65.1,78.31,56.02,66.48,20.48,67,99.84,24
98,20221000098,46.48,55.22,50.11,50.6,15.18,85,68.52,6
99,20221000099,60.8,55.77,57.57,58.05,14.71,87,84.25,44
100,20221000100,54.64,58.01,58.48,57.04,12.79,75,84.06,49
101,20221000101,60.64,63.81,70.27,64.91,3.74,81,62.59,14
102,20221000102,66.59,57.73,53.52,59.28,6.94,86,59.44,16
103,20221000103,67.75,74.13,62.62,68.17,13.49,75,66.33,23
104,20221000104,51.07,75.59,78.66,68.44,5.96,85,59.0,27
105,20221000105,39.66,42.68,47.06,43.13,26.55,94,54.82,38
106,20221000106,41.4,41.28,34.4,39.03,21.64,100,53.15,34
107,20221000107,51.04,72.32,85.1,69.49,24.31,67,60.92,44
108,20221000108,61.98,83.12,80.98,75.36,11.82,100,34.54,10
109,20221000109,54.62,53.11,69.87,59.2,9.54,100,71.47,74
110,20221000110,73.93,96.5,90.92,87.12,17.31,89,100,31
111,20221000111,49.55,60.39,63.29,57.74,18.16,82,84.95,49
112,20221000112,30.94,49.2,49.38,43.17,11.61,80,89.11,16
113,20221000113,58.7,40.24,46.47,48.47,8.68,82,75.03,14
114,20221000114,45.63,48.52,46.56,46.9,20.65,86,90.73,43
115,20221000115,47.75,42.85,38.21,42.94,20.93,94,70.9,14
116,20221000116,71.03,56.58,42.81,56.81,5.76,99,95.45,66
117,20221000117,79.74,84.53,86.79,83.69,18.28,84,79.56,34
118,20221000118,49.94,66.75,62.43,59.71,21.76,81,69.9,20
119,20221000119,88.18,86.82,70.22,81.74,21.25,90,74.7,27
120,20221000120,40.14,51.17,63.36,51.56,15.39,93,60.54,49
121,20221000121,62.7,65.0,71.55,66.42,15.99,82,83.19,40
122,20221000122,77.78,73.9,52.56,68.08,19.51,77,57.33,38
123,20221000123,75.03,83.63,79.6,79.42,24.11,90,84.83,34
124,20221000124,39.94,41.79,53.37,45.03,3.49,84,46.74,35
125,20221000125,35.31,54.95,47.6,45.95,10.59,83,50.54,48
126,20221000126,37.76,43.28,45.24,42.09,11.18,92,56.01,20
127,20221000127,51.42,43.61,47.93,47.65,19.67,69,100,41
128,20221000128,35.17,53.79,56.18,48.38,10.54,88,86.15,27
129,20221000129,44.32,52.98,56.13,51.14,2,76,88.08,38
130,20221000130,42.44,71.54,86.4,66.79,14.25,95,65.84,37
131,20221000131,71.51,71.53,52.36,65.13,4.48,91,72.57,20
132,20221000132,48.22,57.03,65.49,56.91,16.85,90,41.62,11
133,20221000133,64.52,65.16,49.11,59.6,20.41,95,55.54,40
134,20221000134,60.42,63.14,69.49,64.35,21.29,91,65.26,55
135,20221000135,43.61,44.28,54.68,47.52,16.48,96,63.78,10
136,20221000136,73.36,64.67,60.45,66.16,7.58,89,100,26
137,20221000137,84.15,73.97,97.3,85.14,6.16,95,73.04,13
138,20221000138,42.13,28.26,34.61,35.0,16.27,72,52.9,21
139,20221000139,37.05,32.17,25.85,31.69,16.43,100,90.38,13
140,20221000140,52.36,58.38,31.82,47.52,19.12,98,69.08,38
141,20221000141,44.14,38.13,33.44,38.57,12.55,79,69.12,12
142,20221000142,65.48,91.04,100,85.51,17.08,83,52.79,26
143,20221000143,44.97,57.7,77.15,59.94,20.53,87,63.0,11
144,20221000144,78.99,100,93.57,90.85,16.2,88,71.6,20
145,20221000145,45.47,48.83,56.91,50.4,5.79,74,75.92,70
146,20221000146,62.0,53.86,41.21,52.36,24.36,100,100,51
147,20221000147,46.8,43.87,43.37,44.68,17.59,80,77.39,27
148,20221000148,59.45,55.26,66.46,60.39,14.95,75,56.22,27
149,20221000149,66.29,62.9,48.13,59.11,20.67,100,56.95,15
150,20221000150,45.13,30.31,26.2,33.88,4.96,100,73.93,23
151,20221000151,50.87,26.42,20,32.43,14.75,89,40.01,12
152,20221000152,77.97,70.85,88.08,78.97,11.75,89,62.66,38
153,20221000153,75.84,89.17,88.99,84.67,2,95,80.37,23
154,20221000154,47.33,47.46,48.8,47.86,23.81,100,81.87,36
155,20221000155,60.63,47.07,48.96,52.22,15.84,89,94.06,31
156,20221000156,64.14,66.62,60.2,63.65,18.95,91,88.19,15
157,20221000157,35.52,26.81,20,27.44,12.21,87,77.72,32
158,20221000158,59.94,30.1,36.76,42.27,21.58,65,67.92,14
159,20221000159,78.05,75.22,72.74,75.34,18.56,71,48.28,23
160,20221000160,65.7,71.12,69.86,68.89,5.79,100,57.37,15
161,20221000161,33.57,81.36,68.16,61.03,21.28,100,54.34,47
162,20221000162,57.24,68.43,82.24,69.3,7.8,85,85.17,20
163,20221000163,68.83,66.48,64.92,66.74,21.29,82,80.25,14
164,20221000164,82.0,91.95,100,91.32,30.14,92,48.75,20
165,20221000165,28.56,49.39,46.89,41.61,19.64,95,54.81,31
166,20221000166,53.55,63.04,68.62,61.74,23.13,94,92.35,78
167,20221000167,51.3,42.45,60.26,51.34,25.82,84,59.6,15
168,20221000168,44.66,26.14,31.29,34.03,11.71,95,73.45,25
169,20221000169,43.36,54.53,54.67,50.85,11.69,91,72.76,55
170,20221000170,54.52,69.06,70.89,64.82,19.24,100,55.85,19
171,20221000171,62.74,71.28,77.51,70.51,17.87,86,85.05,35
172,20221000172,56.97,70.19,91.22,72.79,16.4,91,66.47,47
173,20221000173,56.86,57.6,60.74,58.4,11.07,85,57.51,17
174,20221000174,74.06,47.71,50.4,57.39,7.25,85,76.48,11
175,20221000175,50.6,47.72,53.52,50.61,9.0,75,100,22
176,20221000176,66.31,64.09,61.38,63.93,9.44,90,53.97,69
177,20221000177,35.48,44.76,34.71,38.32,16.09,86,55.62,28
178,20221000178,76.16,54.35,59.04,63.18,16.66,92,83.94,91
179,20221000179,74.23,67.07,70.56,70.62,17.7,100,97.1,64
180,20221000180,29.67,55.32,58.83,47.94,13.39,98,38.72,50
181,20221000181,32.68,47.97,43.76,41.47,17.67,100,100,14
182,20221000182,36.23,55.54,68.95,53.57,15.58,72,74.73,20
183,20221000183,83.31,92.16,97.9,91.12,15.52,84,91.07,15
184,20221000184,49.82,70.14,81.53,67.16,14.58,91,70.59,8
185,20221000185,69.85,47.17,48.89,55.3,14.89,92,51.53,10
186,20221000186,28.26,20,20,22.75,18.6,99,54.97,14
187,20221000187,49.63,45.42,47.24,47.43,13.47,85,49.21,44
188,20221000188,28.67,27.16,38.13,31.32,11.59,91,73.61,9
189,20221000189,70.02,69.97,77.75,72.58,28.09,98,98.0,38
190,20221000190,44.56,61.13,78.88,61.52,23.46,88,100,42
191,20221000191,41.05,37.99,42.81,40.62,26.83,95,51.94,43
192,20221000192,43.42,53.43,60.23,52.36,14.74,83,75.67,20
193,20221000193,35.73,24.46,20,26.73,13.36,97,86.67,44
194,20221000194,69.73,70.71,52.11,64.18,15.11,93,50.36,34
195,20221000195,68.28,63.61,39.9,57.26,10.67,85,93.01,180
196,20221000196,58.49,48.79,47.22,51.5,16.39,97,56.63,30
197,20221000197,61.52,64.23,67.35,64.37,6.47,74,76.58,56
198,20221000198,55.06,53.7,57.18,55.31,18.31,79,99.03,23
199,20221000199,50.24,55.27,51.76,52.42,10.7,100,64.01,27
200,20221000200,40.23,45.65,54.09,46.66,19.16,84,79.65,27
201,20221000201,71.96,83.06,83.0,79.34,17.28,85,82.87,16
202,20221000202,66.33,84.19,63.58,71.37,17.68,83,36.84,27
203,20221000203,51.07,34.16,23.58,36.27,14.18,95,67.66,43
204,20221000204,42.92,40.5,36.04,39.82,7.9,75,73.09,75
205,20221000205,50.66,50.8,48.21,49.89,21.46,84,54.58,15
206,20221000206,48.13,38.79,37.93,41.62,13.93,99,94.6,42
207,20221000207,55.8,56.38,56.59,56.26,18.96,73,99.04,33
208,20221000208,40.64,59.69,61.55,53.96,12.73,82,56.02,21
209,20221000209,62.0,76.21,76.7,71.64,3.61,94,95.83,30
210,20221000210,32.58,35.58,24.62,30.93,25.63,82,47.8,41
211,20221000211,47.62,48.07,58.51,51.4,22.61,92,99.21,18
212,20221000212,58.53,62.47,83.5,68.17,13.73,78,63.12,29
213,20221000213,68.69,68.89,58.92,65.5,16.25,71,68.42,35
214,20221000214,46.71,68.95,65.88,60.51,20.12,88,54.54,16
215,20221000215,58.88,72.37,78.84,70.03,13.37,80,56.4,20
216,20221000216,63.52,67.25,60.61,63.79,13.24,91,55.09,33
217,20221000217,52.52,64.7,68.29,61.84,23.63,84,83.48,47
218,20221000218,35.64,41.74,44.98,40.79,19.72,94,96.88,11
219,20221000219,61.29,61.94,50.84,58.02,13.43,92,65.21,14
220,20221000220,67.34,67.49,53.55,62.79,24.17,93,64.44,54
221,20221000221,28.99,24.98,23.45,25.81,27.85,80,55.39,36
222,20221000222,43.81,41.83,52.83,46.16,22.15,97,71.09,17
223,20221000223,35.91,26.39,30.55,30.95,24.21,98,52.91,20
224,20221000224,36.32,51.75,49.11,45.73,16.53,88,57.99,39
225,20221000225,46.68,20,22.72,29.8,18.32,93,78.31,11
226,20221000226,59.18,61.18,46.05,55.47,9.51,97,100,25
227,20221000227,65.71,72.82,77.42,71.98,6.97,90,91.96,28
228,20221000228,28.97,39.21,31.83,33.34,9.57,95,42.61,24
229,20221000229,52.89,57.7,55.04,55.21,9.46,85,73.44,21
230,20221000230,28.82,38.09,34.83,33.91,23.0,76,55.04,27
231,20221000231,28.84,50.93,36.33,38.7,15.73,75,69.09,34
232,20221000232,81.03,88.01,89.57,86.2,5.7,89,70.58,21
233,20221000233,36.52,34.38,44.87,38.59,14.39,95,58.66,63
234,20221000234,82.54,98.14,97.2,92.63,26.67,61,94.27,41
235,20221000235,64.3,78.98,77.86,73.71,6.41,94,99.57,13
236,20221000236,46.0,63.41,57.24,55.55,11.52,85,62.87,12
237,20221000237,57.49,72.32,70.08,66.63,2.88,100,100,36
238,20221000238,37.08,35.64,23.4,32.04,13.1,90,51.74,26
239,20221000239,90.79,96.07,85.76,90.87,8.66,84,100,77
240,20221000240,80.57,84.17,80.75,81.83,14.23,100,54.45,81
241,20221000241,65.32,62.11,45.47,57.63,8.78,90,56.82,15
242,20221000242,55.73,68.05,71.37,65.05,16.34,77,86.05,35
243,20221000243,62.91,56.68,70.94,63.51,14.99,91,40.59,32
244,20221000244,41.31,20,21.23,27.51,17.28,100,84.11,22
245,20221000245,63.8,41.56,52.45,52.6,24.12,90,85.81,21
246,20221000246,52.84,57.1,59.01,56.32,7.73,90,48.42,12
247,20221000247,56.88,64.65,57.6,59.71,18.15,94,99.51,56
248,20221000248,36.7,41.71,41.1,39.84,20.58,85,100,21
249,20221000249,57.04,52.38,47.39,52.27,16.41,86,83.04,24
250,20221000250,72.21,88.07,92.58,84.29,18.41,84,91.82,69
251,20221000251,51.82,53.01,40.85,48.56,12.67,95,74.74,58
252,20221000252,47.24,26.5,29.34,34.36,12.28,81,54.08,32
253,20221000253,67.53,75.64,61.52,68.23,4.73,96,63.59,12
254,20221000254,35.68,25.37,25.25,28.77,19.6,89,96.09,19
255,20221000255,64.11,52.11,63.62,59.95,3.44,94,60.58,14
256,20221000256,45.08,73.86,79.57,66.17,16.35,86,64.25,28
257,20221000257,31.86,20,20,23.95,17.31,100,56.5,48
258,20221000258,53.71,49.93,60.94,54.86,20.74,92,81.8,20
259,20221000259,62.07,68.48,80.73,70.43,12.43,85,57.42,49
260,20221000260,20.08,20,28.35,22.81,19.22,96,48.21,25
261,20221000261,29.79,20.8,20,23.53,12.07,96,55.62,9
262,20221000262,35.2,43.09,47.55,41.95,20.82,89,55.29,20
263,20221000263,78.5,71.5,65.58,71.86,19.27,100,79.63,20
264,20221000264,54.22,60.27,59.58,58.02,14.17,81,70.48,21
265,20221000265,23.54,20,20,21.18,13.62,100,82.78,31
266,20221000266,41.32,40.39,42.81,41.51,15.75,69,66.46,18
267,20221000267,66.78,58.42,87.7,70.97,20.53,84,92.44,30
268,20221000268,80.72,93.3,95.15,89.72,14.1,91,79.1,18
269,20221000269,40.16,59.59,51.45,50.4,23.42,81,41.13,14
270,20221000270,46.05,37.1,43.65,42.27,9.62,76,47.64,51
271,20221000271,29.52,23.13,39.04,30.56,9.53,68,49.75,46
272,20221000272,27.9,36.13,28.25,30.76,12.42,71,48.81,21
273,20221000273,48.18,63.24,64.27,58.56,5.37,92,75.53,18
274,20221000274,54.04,62.47,69.85,62.12,11.08,100,70.64,54
275,20221000275,49.35,54.91,52.34,52.2,21.62,100,59.94,49
276,20221000276,62.41,52.33,63.08,59.27,12.26,100,43.65,25
277,20221000277,43.72,47.26,37.18,42.72,25.72,88,75.5,26
278,20221000278,59.51,60.63,57.1,59.08,9.83,69,83.86,35
279,20221000279,37.02,38.74,48.75,41.5,25.4,100,83.28,20
280,20221000280,56.86,56.51,59.13,57.5,30.51,93,96.12,36
281,20221000281,47.93,48.8,56.46,51.06,15.84,83,34.73,15
282,20221000282,60.09,65.33,66.43,63.95,8.52,91,48.14,40
283,20221000283,29.33,25.64,20.67,25.21,13.11,91,52.21,24
284,20221000284,88.9,68.0,62.91,73.27,14.14,100,66.03,10
285,20221000285,68.13,62.97,51.43,60.84,14.86,73,61.61,10
286,20221000286,44.65,42.52,38.46,41.88,18.32,78,85.82,10
287,20221000287,37.65,30.52,40.53,36.23,18.77,86,32.53,10
288,20221000288,71.47,69.58,69.95,70.33,21.23,100,53.86,12
289,20221000289,43.79,36.82,40.44,40.35,22.74,98,88.4,25
290,20221000290,80.04,63.61,68.72,70.79,21.86,98,87.81,31
291,20221000291,67.66,53.7,69.56,63.64,18.48,89,59.72,18
292,20221000292,65.95,61.48,73.49,66.97,19.47,96,69.13,14
293,20221000293,24.6,26.56,42.45,31.2,13.31,74,44.45,22
294,20221000294,39.64,52.25,53.63,48.51,17.82,84,43.5,13
295,20221000295,32.36,21.57,23.27,25.73,11.02,87,65.35,17
296,20221000296,34.62,20,30.9,28.51,16.63,100,99.22,9
297,20221000297,29.64,20.33,26.45,25.47,17.7,79,59.53,32
298,20221000298,33.16,27.23,20,26.8,15.88,90,82.68,20
299,20221000299,40.88,45.22,42.37,42.82,2.96,96,94.88,46
300,20221000300,75.29,66.03,75.4,72.24,15.95,100,46.35,15
301,20221000301,44.54,37.38,60.05,47.32,15.54,88,88.87,23
302,20221000302,62.3,56.89,57.74,58.98,18.02,94,69.8,17
303,20221000303,36.42,27.77,20,28.06,15.22,100,52.24,17
304,20221000304,67.61,72.01,72.82,70.81,11.82,95,77.49,14
305,20221000305,46.94,75.36,74.46,65.59,18.9,89,96.16,22
306,20221000306,67.17,100,87.88,85.02,13.51,80,72.65,29
307,20221000307,45.59,50.26,63.37,53.07,21.16,94,58.0,18
308,20221000308,51.52,30.03,20,33.85,15.67,97,59.09,12
309,20221000309,76.19,72.42,57.82,68.81,15.85,89,93.31,23
310,20221000310,56.1,60.22,66.69,61.0,12.45,96,71.34,31
311,20221000311,62.24,65.47,73.27,66.99,17.31,92,70.8,26
312,20221000312,36.94,36.04,27.92,33.63,24.51,89,57.75,7
313,20221000313,53.6,47.11,30.2,43.64,12.01,87,52.1,6
314,20221000314,70.26,44.1,35.25,49.87,20.3,97,79.56,15
315,20221000315,66.72,57.93,61.52,62.06,18.45,97,46.11,75
316,20221000316,36.52,40.46,30.39,35.79,9.88,96,94.81,62
317,20221000317,74.38,69.43,83.97,75.93,15.56,77,92.05,15
318,20221000318,33.55,46.27,57.7,45.84,13.79,84,58.82,74
319,20221000319,70.46,72.0,72.02,71.49,7.78,94,88.75,43
320,20221000320,50.92,70.35,76.88,66.05,14.05,66,47.44,33
321,20221000321,51.43,35.95,20.78,36.05,17.5,86,58.28,36
322,20221000322,79.44,79.69,83.9,81.01,19.46,95,47.65,41
323,20221000323,61.49,52.27,51.53,55.1,22.2,77,47.19,11
324,20221000324,74.73,78.16,76.22,76.37,26.2,85,66.99,35
325,20221000325,45.97,58.39,67.83,57.4,15.94,100,84.25,6
326,20221000326,76.48,85.5,79.95,80.64,23.94,91,100,23
327,20221000327,50.97,44.36,42.05,45.79,24.78,92,46.87,10
328,20221000328,66.07,53.86,48.05,55.99,10.27,93,78.63,49
329,20221000329,37.85,62.44,41.15,47.15,22.26,80,82.28,30
330,20221000330,27.2,32.88,40.95,33.68,26.9,71,69.27,9
331,20221000331,85.72,98.91,96.13,93.59,23.86,91,80.95,16
332,20221000332,50.61,65.18,57.45,57.75,18.01,96,41.87,60
333,20221000333,52.4,56.4,63.94,57.58,15.78,90,76.75,18
334,20221000334,49.63,53.81,51.1,51.51,31.1,88,63.09,58
335,20221000335,65.67,74.01,74.75,71.48,21.14,83,60.48,55
336,20221000336,36.93,44.46,38.93,40.11,13.65,86,49.17,43
337,20221000337,33.82,36.58,33.39,34.6,15.1,84,65.25,18
338,20221000338,63.32,83.51,82.97,76.6,16.63,89,62.95,61
339,20221000339,56.07,63.04,56.28,58.46,21.09,79,100,149
340,20221000340,75.96,74.69,66.97,72.54,12.91,92,98.4,33
341,20221000341,70.12,59.35,51.53,60.33,16.43,73,55.08,31
342,20221000342,51.96,57.16,68.12,59.08,18.79,100,85.22,21
343,20221000343,56.42,54.14,68.1,59.55,11.07,71,68.15,40
344,20221000344,46.09,35.96,39.57,40.54,7.32,92,77.45,40
345,20221000345,65.52,52.79,56.66,58.32,17.76,87,59.96,15
346,20221000346,76.43,48.13,56.86,60.47,15.89,89,51.7,68
347,20221000347,46.78,35.09,56.97,46.28,9.26,90,85.87,9
348,20221000348,64.81,85.07,90.8,80.23,13.28,93,88.27,17
349,20221000349,67.63,77.85,73.85,73.11,22.02,97,100,24
350,20221000350,55.02,47.3,51.02,51.11,21.39,75,95.01,29
351,20221000351,72.57,82.14,86.12,80.28,9.97,73,48.31,24
352,20221000352,51.43,45.4,47.81,48.21,20.85,86,70.91,44
353,20221000353,37.73,42.76,44.38,41.62,13.16,83,39.0,19
354,20221000354,42.66,50.95,63.84,52.48,16.2,88,43.8,23
355,20221000355,36.23,35.57,52.54,41.45,14.37,79,99.85,24
356,20221000356,65.52,73.84,68.35,69.24,6.85,100,100,14
357,20221000357,72.84,85.41,95.52,84.59,24.02,88,75.48,86
358,20221000358,37.74,59.78,25.86,41.13,12.95,82,93.36,29
359,20221000359,73.28,45.62,39.92,52.94,20.05,76,73.99,43
360,20221000360,87.51,73.15,75.02,78.56,20.39,79,97.35,19
361,20221000361,68.23,82.05,67.32,72.53,26.68,84,48.45,25
362,20221000362,89.46,100,92.16,93.87,23.28,85,90.23,44
363,20221000363,75.78,85.9,66.37,76.02,11.83,89,86.9,29
364,20221000364,77.89,88.04,80.89,82.27,16.58,90,67.24,41
365,20221000365,71.87,70.77,82.5,75.05,23.33,94,53.17,21
366,20221000366,70.08,73.93,84.21,76.07,10.08,87,88.78,34
367,20221000367,44.13,50.03,34.24,42.8,22.55,87,86.81,13
368,20221000368,32.51,37.5,42.61,37.54,12.8,100,67.42,43
369,20221000369,58.08,62.75,59.95,60.26,18.01,85,63.41,55
370,20221000370,56.88,59.76,52.2,56.28,15.22,90,63.84,13
371,20221000371,35.86,30.67,48.42,38.32,15.6,100,96.91,61
372,20221000372,42.47,39.93,20,34.13,10.34,79,62.15,6
373,20221000373,66.45,86.75,80.29,77.83,22.74,95,96.0,11
374,20221000374,31.83,24.01,20.53,25.46,6.66,87,81.28,18
375,20221000375,55.16,83.63,77.97,72.25,15.89,81,71.5,14
376,20221000376,31.15,20,20,23.72,17.12,85,78.06,59
377,20221000377,37.67,37.97,43.22,39.62,24.84,81,52.36,22
378,20221000378,48.19,60.37,68.55,59.04,15.1,77,80.08,48
379,20221000379,78.75,74.04,66.34,73.04,20.24,81,86.91,15
380,20221000380,73.78,60.45,88.99,74.41,13.51,85,51.99,41
381,20221000381,59.26,51.85,62.36,57.82,13.72,100,63.83,19
382,20221000382,52.24,67.45,65.49,61.73,17.18,83,52.38,39
383,20221000383,56.72,54.53,53.73,54.99,12.74,97,70.03,38
384,20221000384,58.93,55.76,54.11,56.27,16.02,87,73.19,39
385,20221000385,32.58,23.63,20,25.4,8.79,78,85.37,14
386,20221000386,50.7,69.55,65.19,61.81,24.44,96,45.89,33
387,20221000387,75.31,69.12,57.05,67.16,19.49,83,79.5,8
388,20221000388,69.11,68.3,74.82,70.74,25.81,92,64.84,23
389,20221000389,26.95,20,38.89,28.61,13.92,83,83.22,89
390,20221000390,39.23,31.6,26.98,32.6,23.33,84,93.81,13
391,20221000391,47.19,42.89,29.56,39.88,13.19,81,100,22
392,20221000392,53.65,36.99,28.92,39.85,12.88,80,92.41,52
393,20221000393,20.74,25.82,22.77,23.11,22.66,65,54.68,13
394,20221000394,72.79,76.61,58.75,69.38,15.93,99,47.04,29
395,20221000395,53.76,70.92,51.23,58.64,17.17,90,64.07,50
396,20221000396,39.25,40.25,46.58,42.03,17.18,73,56.02,18
397,20221000397,68.29,63.1,71.33,67.57,25.21,73,99.03,31
398,20221000398,27.73,27.42,25.23,26.79,14.33,68,53.69,26
399,20221000399,46.81,39.29,40.87,42.32,24.23,86,96.21,22
400,20221000400,40.79,55.49,52.38,49.55,16.58,100,63.82,25
