performance_id,student_id,course_id,semester,attendance_score,participation_score,homework_score,behavior_score,total_performance_score,teacher_comments,learning_attitude,discipline
30,3,8,第一学期,76.1,77.6,54.4,87.5,73.9,学习态度认真，成绩稳步提升。,较差,一般
31,3,9,第二学期,75.7,92.5,58.5,68.3,73.8,学习态度认真，成绩稳步提升。,优秀,优秀
32,3,10,第一学期,83.5,78.9,71.8,73.9,77.0,课堂表现良好，积极参与讨论。,较差,一般
33,3,13,第一学期,85.1,76.8,94.3,94.5,87.7,,一般,优秀
34,4,1,第二学期,91.8,43.1,55.1,90.7,70.2,需要加强课堂参与度。,较差,优秀
35,4,2,第一学期,91.8,35.3,97.6,73.4,74.5,学习态度认真，成绩稳步提升。,优秀,良好
36,4,3,第二学期,70.8,37.3,80.8,99.3,72.0,需要提高作业质量。,良好,一般
37,4,4,第一学期,74.7,90.4,85.2,65.6,79.0,需要加强课堂参与度。,一般,优秀
38,4,5,第二学期,77.0,87.7,54.9,60.8,70.1,课堂纪律良好，表现稳定。,良好,良好
39,4,6,第一学期,77.5,55.0,77.8,75.5,71.5,课堂发言积极，思维活跃。,优秀,一般
40,4,7,第一学期,84.6,72.3,78.6,91.1,81.6,课堂表现良好，积极参与讨论。,良好,良好
41,4,8,第一学期,77.8,91.5,87.3,79.0,83.9,需要提高作业质量。,一般,优秀
42,4,9,第二学期,81.8,40.4,92.9,99.4,78.6,课堂纪律良好，表现稳定。,较差,优秀
43,4,10,第二学期,71.6,77.8,67.0,85.3,75.4,作业完成认真，值得表扬。,一般,优秀
44,4,13,第一学期,83.4,87.0,60.9,72.1,75.8,需要加强课堂参与度。,较差,优秀
45,5,1,第二学期,73.7,,54.4,70.1,58.0,需要加强课堂参与度。,一般,一般
46,5,2,第一学期,87.1,99.8,75.1,72.5,83.6,学习进步明显，继续努力。,良好,优秀
47,5,3,第一学期,93.2,61.9,91.4,92.5,84.8,课堂表现良好，积极参与讨论。,良好,优秀
48,5,4,第二学期,80.5,54.5,86.7,75.3,74.2,学习态度认真，成绩稳步提升。,良好,优秀
49,5,5,第二学期,98.0,35.3,56.2,89.7,69.8,需要提高作业质量。,良好,优秀
50,5,6,第一学期,98.1,47.2,53.7,94.1,73.3,课堂纪律良好，表现稳定。,一般,优秀
51,5,7,第二学期,70.3,69.4,93.5,70.8,76.0,作业完成认真，值得表扬。,良好,优秀
52,5,8,第二学期,83.7,74.0,86.4,90.9,83.8,学习态度认真，成绩稳步提升。,较差,一般
53,5,9,第二学期,84.8,65.2,87.4,75.0,78.1,学习态度认真，成绩稳步提升。,较差,优秀
54,5,10,第一学期,79.2,73.6,58.1,74.0,71.2,课堂纪律良好，表现稳定。,良好,优秀
55,5,13,第二学期,84.0,88.8,58.4,97.3,82.1,课堂表现良好，积极参与讨论。,较差,优秀
56,6,1,第一学期,93.4,34.3,,92.5,70.5,需要加强课堂参与度。,优秀,优秀
57,6,2,第二学期,90.4,91.0,75.1,96.7,88.3,需要提高作业质量。,良好,一般
58,6,3,第二学期,96.7,80.9,66.4,78.4,80.6,学习态度认真，成绩稳步提升。,良好,良好
59,6,4,第二学期,92.5,91.6,61.1,84.0,82.3,课堂发言积极，思维活跃。,优秀,良好
60,6,5,第一学期,78.9,81.6,71.1,87.0,79.7,需要提高作业质量。,优秀,优秀
61,6,6,第二学期,83.2,84.3,98.5,93.8,90.0,需要提高作业质量。,较差,良好
62,6,7,第二学期,84.1,94.4,85.8,62.0,81.6,,一般,优秀
63,6,8,第二学期,72.4,,83.1,93.1,86.2,学习进步明显，继续努力。,良好,优秀
64,6,9,第一学期,95.1,,69.1,67.9,82.7,作业完成认真，值得表扬。,一般,优秀
65,6,10,第一学期,75.3,89.9,80.9,83.7,82.5,课堂发言积极，思维活跃。,一般,一般
66,6,13,第二学期,74.3,53.5,51.3,61.7,60.2,课堂纪律良好，表现稳定。,良好,良好
67,7,1,第二学期,96.4,87.7,64.0,86.2,83.6,课堂发言积极，思维活跃。,较差,一般
68,7,2,第一学期,86.0,49.6,63.3,93.7,73.1,需要提高作业质量。,较差,优秀
69,7,3,第二学期,87.4,70.9,,97.0,84.9,需要加强课堂参与度。,良好,优秀
70,7,4,第二学期,89.0,90.1,80.6,96.2,89.0,课堂纪律良好，表现稳定。,良好,优秀
71,7,5,第二学期,99.7,81.5,75.0,93.1,87.3,课堂纪律良好，表现稳定。,良好,优秀
72,7,6,第二学期,89.2,,68.3,97.4,81.9,作业完成认真，值得表扬。,一般,一般
73,7,7,第二学期,90.2,95.2,53.0,67.9,76.6,需要提高作业质量。,良好,优秀
74,7,8,第二学期,72.7,36.5,98.0,77.4,71.2,课堂发言积极，思维活跃。,优秀,优秀
75,7,9,第二学期,71.2,79.9,75.3,82.3,77.2,需要加强课堂参与度。,良好,良好
76,7,10,第一学期,91.7,55.4,51.0,91.8,72.5,课堂发言积极，思维活跃。,优秀,良好
77,7,13,第一学期,81.4,76.7,51.8,62.5,68.1,需要加强课堂参与度。,良好,优秀
78,8,1,第一学期,90.4,76.5,60.7,72.6,75.1,学习进步明显，继续努力。,一般,优秀
79,8,2,第二学期,96.1,69.6,89.2,93.7,87.1,需要提高作业质量。,一般,优秀
80,8,3,第二学期,96.0,91.2,97.1,88.7,93.2,作业完成认真，值得表扬。,优秀,良好
81,8,4,第二学期,92.4,84.2,,66.6,77.6,课堂纪律良好，表现稳定。,良好,一般
82,8,5,第二学期,77.4,85.1,62.8,85.2,77.6,课堂纪律良好，表现稳定。,较差,优秀
83,8,6,第二学期,99.1,73.2,,81.7,84.6,课堂发言积极，思维活跃。,优秀,优秀
84,8,7,第二学期,85.5,79.9,76.3,74.9,79.2,课堂表现良好，积极参与讨论。,良好,优秀
85,8,8,第二学期,88.6,90.5,71.0,60.2,77.6,学习态度认真，成绩稳步提升。,良好,优秀
86,8,9,第一学期,86.3,36.3,64.5,88.0,68.8,课堂表现良好，积极参与讨论。,优秀,优秀
87,8,10,第二学期,96.1,93.1,74.1,71.2,83.6,课堂表现良好，积极参与讨论。,较差,一般
88,8,13,第一学期,71.6,34.3,71.0,78.1,63.7,,优秀,优秀
89,9,1,第二学期,76.2,62.4,58.3,87.8,71.2,需要提高作业质量。,较差,优秀
90,9,2,第一学期,80.7,88.0,85.5,60.8,78.8,需要加强课堂参与度。,优秀,一般
91,9,3,第一学期,94.4,91.7,81.3,71.6,84.8,需要提高作业质量。,一般,优秀
92,9,4,第二学期,82.3,98.5,65.4,71.4,79.4,学习态度认真，成绩稳步提升。,良好,良好
93,9,5,第二学期,85.3,,55.3,79.9,71.4,作业完成认真，值得表扬。,良好,优秀
94,9,6,第二学期,95.4,,76.5,82.5,81.0,学习态度认真，成绩稳步提升。,较差,一般
95,9,7,第二学期,76.3,,84.7,68.0,79.7,需要加强课堂参与度。,优秀,良好
96,9,8,第二学期,93.0,55.7,64.6,79.2,73.1,课堂发言积极，思维活跃。,良好,优秀
97,9,9,第一学期,91.7,74.0,53.6,75.6,73.7,课堂表现良好，积极参与讨论。,优秀,一般
98,9,10,第二学期,87.9,60.9,74.8,79.7,75.8,学习态度认真，成绩稳步提升。,良好,良好
99,9,13,第二学期,93.1,73.5,65.3,86.4,79.6,课堂纪律良好，表现稳定。,良好,优秀
100,10,1,第二学期,91.7,83.3,94.3,99.8,92.3,作业完成认真，值得表扬。,较差,优秀
101,10,2,第一学期,73.4,65.7,70.6,81.1,72.7,需要提高作业质量。,较差,一般
102,10,3,第二学期,75.7,48.4,52.7,86.6,65.8,学习态度认真，成绩稳步提升。,良好,优秀
103,10,4,第一学期,79.9,47.9,92.7,62.3,70.7,作业完成认真，值得表扬。,一般,优秀
104,10,5,第一学期,82.7,72.6,63.3,74.1,73.2,需要提高作业质量。,较差,一般
105,10,6,第二学期,89.8,85.9,67.8,82.8,81.6,课堂纪律良好，表现稳定。,一般,优秀
106,10,7,第一学期,83.8,51.4,69.7,62.1,66.8,需要提高作业质量。,优秀,良好
107,10,8,第二学期,78.0,98.7,52.6,83.0,78.1,作业完成认真，值得表扬。,优秀,良好
108,10,9,第二学期,71.2,60.3,53.3,86.5,67.8,作业完成认真，值得表扬。,优秀,优秀
109,10,10,第二学期,87.3,66.5,97.6,83.4,83.7,课堂纪律良好，表现稳定。,优秀,优秀
110,10,13,第二学期,74.7,53.5,67.4,67.6,65.8,作业完成认真，值得表扬。,优秀,良好
111,11,1,第二学期,95.9,59.8,57.2,84.4,74.3,课堂纪律良好，表现稳定。,良好,一般
112,11,2,第二学期,73.7,98.5,71.3,71.8,78.8,作业完成认真，值得表扬。,良好,良好
113,11,3,第二学期,80.5,33.3,67.3,74.9,64.0,课堂纪律良好，表现稳定。,优秀,优秀
114,11,4,第一学期,71.7,69.3,91.1,75.1,76.8,学习进步明显，继续努力。,优秀,良好
115,11,5,第二学期,82.1,88.6,96.5,71.6,84.7,学习态度认真，成绩稳步提升。,良好,优秀
116,11,6,第一学期,78.5,82.3,79.1,74.0,78.5,课堂纪律良好，表现稳定。,一般,优秀
117,11,7,第二学期,87.4,89.4,96.4,73.7,86.7,课堂发言积极，思维活跃。,良好,优秀
118,11,8,第一学期,98.9,94.1,80.8,65.0,84.7,学习态度认真，成绩稳步提升。,良好,一般
119,11,9,第一学期,96.9,83.6,89.9,91.1,90.4,课堂纪律良好，表现稳定。,一般,一般
120,11,10,第一学期,94.6,94.5,81.4,76.6,86.8,课堂表现良好，积极参与讨论。,一般,优秀
121,11,13,第二学期,80.3,49.9,52.1,61.1,60.8,课堂纪律良好，表现稳定。,良好,一般
122,12,1,第二学期,73.7,91.7,63.6,95.3,81.1,需要提高作业质量。,良好,优秀
123,12,2,第一学期,99.3,80.9,50.2,91.8,80.5,课堂发言积极，思维活跃。,良好,一般
124,12,3,第二学期,92.6,39.4,88.3,74.1,73.6,作业完成认真，值得表扬。,一般,一般
125,12,4,第二学期,81.4,51.8,93.0,64.1,72.6,需要提高作业质量。,一般,优秀
126,12,5,第一学期,99.5,94.6,66.1,76.0,84.0,课堂纪律良好，表现稳定。,良好,良好
127,12,6,第一学期,80.2,31.5,61.3,79.4,63.1,需要提高作业质量。,良好,一般
128,12,7,第二学期,78.7,77.3,67.4,66.4,72.5,课堂纪律良好，表现稳定。,良好,一般
129,12,8,第二学期,93.5,94.8,97.2,92.5,94.5,课堂表现良好，积极参与讨论。,良好,优秀
130,12,9,第二学期,80.2,39.3,91.1,71.8,70.6,课堂表现良好，积极参与讨论。,较差,良好
131,12,10,第一学期,99.9,76.7,92.9,68.4,84.5,需要提高作业质量。,优秀,一般
132,12,13,第一学期,75.3,47.5,81.9,94.4,74.8,作业完成认真，值得表扬。,优秀,良好
133,13,1,第二学期,89.4,37.0,78.4,74.8,69.9,需要加强课堂参与度。,良好,一般
134,13,2,第二学期,72.0,78.7,96.4,70.0,79.3,作业完成认真，值得表扬。,良好,优秀
135,13,3,第一学期,96.1,58.4,67.4,77.9,75.0,课堂表现良好，积极参与讨论。,优秀,一般
136,13,4,第一学期,77.0,92.8,97.2,62.2,82.3,学习态度认真，成绩稳步提升。,较差,优秀
137,13,5,第二学期,90.7,43.3,61.8,90.6,71.6,课堂发言积极，思维活跃。,一般,优秀
138,13,6,第一学期,99.6,83.1,63.6,62.3,77.1,需要加强课堂参与度。,较差,优秀
139,13,7,第一学期,81.5,61.8,,66.2,65.8,学习态度认真，成绩稳步提升。,良好,良好
140,13,8,第一学期,80.1,48.3,67.1,71.2,66.7,,良好,优秀
141,13,9,第二学期,81.2,40.7,93.6,85.9,75.3,需要加强课堂参与度。,一般,一般
142,13,10,第二学期,99.1,61.5,64.8,80.3,76.4,学习态度认真，成绩稳步提升。,优秀,一般
143,13,13,第一学期,94.5,66.7,73.9,60.4,73.9,课堂发言积极，思维活跃。,一般,优秀
144,14,1,第二学期,73.0,,92.0,60.2,66.9,学习进步明显，继续努力。,较差,一般
145,14,2,第一学期,74.3,50.9,97.6,69.8,73.1,课堂纪律良好，表现稳定。,优秀,良好
146,14,3,第二学期,88.8,88.4,66.9,86.1,82.5,需要加强课堂参与度。,良好,一般
147,14,4,第二学期,98.2,31.7,91.3,93.8,78.8,课堂发言积极，思维活跃。,良好,优秀
148,14,5,第二学期,79.3,98.5,53.7,62.1,73.4,课堂发言积极，思维活跃。,一般,良好
149,14,6,第一学期,90.6,50.9,96.3,69.5,76.8,需要加强课堂参与度。,良好,一般
150,14,7,第二学期,99.1,90.2,83.4,94.2,91.7,课堂表现良好，积极参与讨论。,良好,优秀
151,14,8,第一学期,81.4,43.4,53.5,90.7,67.2,作业完成认真，值得表扬。,良好,良好
152,14,9,第一学期,78.1,51.1,51.0,75.6,63.9,课堂发言积极，思维活跃。,良好,优秀
153,14,10,第二学期,80.3,,86.6,65.5,69.0,学习进步明显，继续努力。,良好,优秀
154,14,13,第一学期,98.2,70.3,92.4,63.7,81.1,课堂表现良好，积极参与讨论。,较差,优秀
155,15,1,第一学期,70.7,,72.0,94.3,74.7,学习态度认真，成绩稳步提升。,优秀,优秀
156,15,2,第一学期,90.5,71.4,90.2,66.6,79.7,,良好,优秀
157,15,3,第二学期,84.8,57.0,78.9,94.7,78.9,需要加强课堂参与度。,较差,优秀
158,15,4,第二学期,80.3,42.5,51.3,89.3,65.8,需要提高作业质量。,良好,良好
159,15,5,第一学期,73.0,,,82.4,70.3,,良好,一般
160,15,6,第二学期,75.4,57.3,69.9,97.2,75.0,作业完成认真，值得表扬。,较差,优秀
161,15,7,第二学期,97.6,,57.2,91.2,78.5,课堂发言积极，思维活跃。,较差,良好
162,15,8,第二学期,98.3,64.5,75.9,75.6,78.6,课堂发言积极，思维活跃。,良好,优秀
163,15,9,第一学期,99.5,58.6,99.9,74.9,83.2,作业完成认真，值得表扬。,较差,良好
164,15,10,第一学期,72.2,33.0,81.4,86.1,68.2,课堂纪律良好，表现稳定。,一般,良好
165,15,13,第二学期,84.0,93.8,94.4,83.8,89.0,课堂表现良好，积极参与讨论。,良好,良好
166,16,1,第一学期,89.0,,97.6,91.7,78.6,,良好,优秀
167,16,2,第一学期,95.3,91.0,86.5,82.5,88.8,课堂表现良好，积极参与讨论。,优秀,一般
168,16,3,第二学期,75.6,76.7,52.8,66.3,67.9,学习态度认真，成绩稳步提升。,良好,一般
169,16,4,第二学期,85.8,46.0,62.7,76.5,67.8,需要加强课堂参与度。,较差,优秀
170,16,5,第二学期,70.0,,51.7,80.0,66.4,作业完成认真，值得表扬。,良好,一般
171,16,6,第一学期,71.5,92.6,59.0,96.5,79.9,课堂表现良好，积极参与讨论。,优秀,良好
172,16,7,第二学期,84.7,69.9,63.7,91.4,77.4,学习进步明显，继续努力。,优秀,一般
173,16,8,第二学期,96.0,,66.7,81.8,78.0,学习态度认真，成绩稳步提升。,优秀,优秀
174,16,9,第二学期,82.4,55.7,70.5,60.6,67.3,需要加强课堂参与度。,优秀,良好
175,16,10,第二学期,90.2,49.8,59.7,84.2,71.0,学习进步明显，继续努力。,良好,优秀
176,16,13,第二学期,85.2,64.2,99.2,86.6,83.8,学习态度认真，成绩稳步提升。,优秀,优秀
177,17,1,第一学期,74.4,36.9,63.8,83.3,64.6,学习态度认真，成绩稳步提升。,良好,良好
178,17,2,第二学期,70.2,59.6,81.4,83.0,73.6,学习态度认真，成绩稳步提升。,较差,良好
179,17,3,第二学期,70.3,83.5,71.4,73.7,74.7,,一般,优秀
180,17,4,第一学期,75.0,53.8,82.5,90.4,75.4,课堂发言积极，思维活跃。,良好,优秀
181,17,5,第一学期,83.9,89.9,86.1,96.2,89.0,课堂发言积极，思维活跃。,较差,优秀
182,17,6,第二学期,81.1,99.0,,92.6,85.6,学习进步明显，继续努力。,较差,优秀
183,17,7,第二学期,71.9,94.3,69.7,92.3,82.0,需要提高作业质量。,良好,良好
184,17,8,第二学期,90.5,67.2,67.4,89.2,78.6,作业完成认真，值得表扬。,优秀,一般
185,17,9,第一学期,95.5,74.3,97.5,69.0,84.1,作业完成认真，值得表扬。,良好,优秀
186,17,10,第二学期,92.5,95.8,82.7,87.4,89.6,学习进步明显，继续努力。,良好,良好
187,17,13,第一学期,76.1,,81.9,80.7,73.9,作业完成认真，值得表扬。,良好,良好
188,18,1,第一学期,87.5,33.2,58.3,66.7,61.4,作业完成认真，值得表扬。,一般,优秀
189,18,2,第二学期,75.3,36.2,86.1,65.5,65.8,课堂表现良好，积极参与讨论。,良好,优秀
190,18,3,第二学期,96.9,58.4,71.6,60.3,71.8,作业完成认真，值得表扬。,较差,优秀
191,18,4,第一学期,90.0,47.9,,66.0,66.8,课堂发言积极，思维活跃。,较差,优秀
192,18,5,第二学期,96.8,83.9,97.8,97.1,93.9,课堂纪律良好，表现稳定。,较差,优秀
193,18,6,第二学期,78.2,99.6,85.6,68.8,83.0,作业完成认真，值得表扬。,较差,一般
194,18,7,第二学期,83.2,75.0,64.4,84.0,76.7,需要提高作业质量。,优秀,优秀
195,18,8,第二学期,92.1,79.0,63.7,85.6,80.1,需要加强课堂参与度。,优秀,一般
196,18,9,第一学期,84.3,67.8,65.8,79.5,74.3,学习进步明显，继续努力。,良好,优秀
197,18,10,第二学期,78.6,73.4,86.4,80.5,79.7,,一般,优秀
198,18,13,第二学期,89.2,76.3,63.5,65.9,73.7,需要加强课堂参与度。,优秀,良好
199,19,1,第一学期,83.1,65.4,52.1,63.4,66.0,作业完成认真，值得表扬。,较差,良好
200,19,2,第一学期,95.3,64.6,,84.7,77.0,学习进步明显，继续努力。,良好,优秀
201,19,3,第二学期,73.0,93.7,94.3,94.2,88.8,课堂表现良好，积极参与讨论。,较差,优秀
202,19,4,第一学期,77.6,77.9,99.0,61.6,79.0,需要提高作业质量。,良好,良好
203,19,5,第二学期,95.9,41.6,51.2,83.2,68.0,,优秀,良好
204,19,6,第一学期,70.8,37.3,81.2,77.8,66.8,课堂表现良好，积极参与讨论。,良好,一般
205,19,7,第一学期,87.9,74.2,51.4,96.7,77.6,课堂纪律良好，表现稳定。,一般,良好
206,19,8,第二学期,71.6,39.2,83.3,64.5,64.7,学习进步明显，继续努力。,一般,良好
207,19,9,第二学期,95.2,64.8,61.3,70.3,72.9,需要加强课堂参与度。,较差,良好
208,19,10,第二学期,99.0,45.0,85.9,79.4,77.3,课堂纪律良好，表现稳定。,良好,优秀
209,19,13,第二学期,79.6,79.2,64.6,86.7,77.5,学习进步明显，继续努力。,良好,优秀
210,20,1,第二学期,83.3,75.0,59.8,87.1,76.3,需要加强课堂参与度。,良好,优秀
211,20,2,第一学期,88.3,62.5,98.1,88.1,84.2,需要提高作业质量。,良好,一般
212,20,3,第一学期,92.3,82.2,96.4,66.6,84.4,学习进步明显，继续努力。,良好,优秀
213,20,4,第二学期,93.7,43.0,72.8,71.0,70.1,需要加强课堂参与度。,较差,优秀
214,20,5,第一学期,83.6,53.8,59.5,91.2,72.0,学习进步明显，继续努力。,良好,优秀
215,20,6,第一学期,80.6,74.5,76.6,79.4,77.8,课堂纪律良好，表现稳定。,较差,优秀
216,20,7,第二学期,71.7,,99.9,70.9,75.1,课堂表现良好，积极参与讨论。,良好,一般
217,20,8,第二学期,90.4,45.7,,80.4,70.6,作业完成认真，值得表扬。,良好,优秀
218,20,9,第一学期,88.9,51.4,,79.8,76.1,课堂表现良好，积极参与讨论。,优秀,一般
219,20,10,第一学期,80.1,76.0,73.3,74.8,76.0,课堂发言积极，思维活跃。,较差,一般
220,20,13,第一学期,94.2,,69.2,86.1,72.4,作业完成认真，值得表扬。,优秀,良好
221,21,1,第二学期,77.7,92.4,56.1,72.7,74.7,课堂发言积极，思维活跃。,良好,一般
222,21,2,第二学期,98.7,94.0,68.1,77.4,84.5,课堂发言积极，思维活跃。,优秀,一般
223,21,3,第二学期,99.4,70.4,76.2,74.5,80.1,学习进步明显，继续努力。,良好,良好
224,21,4,第二学期,72.0,66.6,61.0,65.4,66.2,学习进步明显，继续努力。,较差,优秀
225,21,5,第二学期,89.2,89.2,81.8,70.0,82.5,课堂发言积极，思维活跃。,良好,优秀
226,21,6,第二学期,96.4,,62.5,69.1,70.3,学习进步明显，继续努力。,较差,优秀
227,21,7,第二学期,98.9,75.2,93.6,76.8,86.1,作业完成认真，值得表扬。,良好,优秀
228,21,8,第一学期,76.7,,77.3,84.0,70.0,需要提高作业质量。,较差,一般
229,21,9,第二学期,93.9,48.1,66.2,95.0,75.8,作业完成认真，值得表扬。,较差,一般
230,21,10,第一学期,93.2,70.7,88.4,76.4,82.2,作业完成认真，值得表扬。,优秀,良好
231,21,13,第二学期,94.1,72.6,61.9,73.8,75.6,学习态度认真，成绩稳步提升。,一般,优秀
232,22,1,第一学期,95.4,87.6,91.1,97.0,92.8,需要加强课堂参与度。,优秀,优秀
233,22,2,第一学期,77.1,,53.1,67.9,67.8,,良好,一般
234,22,3,第二学期,93.6,58.5,89.4,77.1,79.7,作业完成认真，值得表扬。,良好,优秀
235,22,4,第二学期,83.8,48.0,,73.4,71.6,需要加强课堂参与度。,较差,优秀
236,22,5,第二学期,91.4,90.3,86.9,85.8,88.6,,较差,优秀
237,22,6,第二学期,98.6,87.2,71.4,97.4,88.7,,良好,一般
238,22,7,第一学期,93.7,59.4,75.2,99.9,82.1,课堂发言积极，思维活跃。,较差,优秀
239,22,8,第二学期,95.0,31.2,,92.8,69.5,课堂纪律良好，表现稳定。,良好,一般
240,22,9,第二学期,75.8,99.4,68.7,75.5,79.8,学习进步明显，继续努力。,优秀,良好
241,22,10,第二学期,84.1,98.3,88.6,97.5,92.1,课堂纪律良好，表现稳定。,较差,良好
242,22,13,第一学期,93.2,46.7,78.0,60.7,69.7,需要提高作业质量。,一般,良好
243,23,1,第二学期,92.0,71.9,79.9,65.2,77.2,需要加强课堂参与度。,一般,一般
244,23,2,第一学期,91.2,73.9,75.2,68.4,77.2,课堂表现良好，积极参与讨论。,优秀,良好
245,23,3,第一学期,96.5,49.2,60.5,62.6,67.2,,一般,优秀
246,23,4,第二学期,76.7,69.6,77.3,89.6,78.3,需要提高作业质量。,优秀,良好
247,23,5,第二学期,91.8,99.2,81.0,82.9,88.7,课堂纪律良好，表现稳定。,一般,一般
248,23,6,第一学期,72.8,62.1,73.6,91.0,74.9,作业完成认真，值得表扬。,良好,一般
249,23,7,第二学期,98.3,96.4,76.6,85.9,89.3,需要提高作业质量。,良好,优秀
250,23,8,第二学期,89.5,73.7,87.4,62.9,78.4,学习进步明显，继续努力。,优秀,优秀
251,23,9,第二学期,91.5,88.6,60.1,89.8,82.5,需要提高作业质量。,较差,良好
252,23,10,第二学期,86.9,79.8,83.6,83.0,83.3,学习态度认真，成绩稳步提升。,一般,良好
253,23,13,第一学期,95.7,89.0,80.6,93.8,89.8,学习态度认真，成绩稳步提升。,较差,良好
254,24,1,第一学期,95.1,,78.3,70.1,79.0,,一般,一般
255,24,2,第一学期,77.4,33.0,83.7,71.5,66.4,学习态度认真，成绩稳步提升。,良好,良好
256,24,3,第二学期,94.0,69.3,,89.4,81.4,需要加强课堂参与度。,优秀,一般
257,24,4,第一学期,87.0,83.4,62.1,65.5,74.5,需要提高作业质量。,优秀,一般
258,24,5,第一学期,81.9,58.9,55.0,95.8,72.9,课堂发言积极，思维活跃。,较差,优秀
259,24,6,第二学期,76.2,67.8,76.0,80.1,75.0,学习进步明显，继续努力。,良好,一般
260,24,7,第一学期,92.3,85.8,75.1,78.3,82.9,需要加强课堂参与度。,良好,优秀
261,24,8,第二学期,79.2,88.4,60.2,64.7,73.1,课堂表现良好，积极参与讨论。,良好,良好
262,24,9,第一学期,74.0,,99.7,95.9,82.2,作业完成认真，值得表扬。,良好,优秀
263,24,10,第一学期,90.2,35.6,94.3,92.9,78.2,,良好,良好
264,24,13,第二学期,72.1,67.4,99.5,73.1,78.0,课堂发言积极，思维活跃。,良好,优秀
265,25,1,第一学期,72.1,47.3,74.6,80.1,68.5,学习进步明显，继续努力。,良好,良好
266,25,2,第一学期,78.0,91.1,71.5,75.5,79.0,作业完成认真，值得表扬。,较差,良好
267,25,3,第一学期,70.6,31.5,83.7,94.5,70.1,,一般,优秀
268,25,4,第一学期,79.1,89.4,70.4,84.2,80.8,课堂表现良好，积极参与讨论。,一般,优秀
269,25,5,第一学期,84.5,74.3,52.5,75.8,71.8,需要提高作业质量。,一般,良好
270,25,6,第二学期,81.5,97.6,70.7,64.7,78.6,课堂纪律良好，表现稳定。,一般,良好
271,25,7,第二学期,96.0,,85.4,92.9,92.6,需要提高作业质量。,较差,良好
272,25,8,第二学期,85.9,79.7,57.7,63.5,71.7,学习态度认真，成绩稳步提升。,良好,一般
273,25,9,第一学期,99.6,39.8,89.1,65.0,73.4,需要加强课堂参与度。,良好,优秀
274,25,10,第一学期,95.7,89.8,59.8,68.7,78.5,课堂纪律良好，表现稳定。,良好,优秀
275,25,13,第二学期,91.6,77.9,57.8,84.5,78.0,需要提高作业质量。,较差,一般
