grade_id,student_id,course_id,semester,academic_year,midterm_score,final_score,usual_score,total_score,grade_level,ranking,teacher_id
49,6,7,第一学期,2023-2024,95.1,95.6,52.8,81.2,良好,102.0,3
50,6,6,第二学期,2024-2025,94.3,46.2,73.0,71.2,中等,286.0,3
51,6,5,第一学期,2024-2025,62.9,81.2,58.9,67.7,,164.0,3
52,6,2,第一学期,2024-2025,70.3,92.0,80.4,80.9,良好,297.0,3
53,6,11,第一学期,2024-2025,94.3,,87.0,90.1,优秀,18.0,3
54,6,12,第一学期,2023-2024,91.0,52.0,,76.1,中等,130.0,3
55,6,8,第二学期,2024-2025,76.5,45.8,68.2,63.5,及格,451.0,3
56,6,9,第二学期,2024-2025,60.4,69.9,82.3,70.9,中等,58.0,3
57,6,4,第一学期,2023-2024,55.9,76.6,67.0,66.5,及格,387.0,3
58,7,6,第二学期,2024-2025,57.7,90.7,86.0,78.1,中等,401.0,3
59,7,2,第一学期,2024-2025,76.2,75.6,59.4,70.4,中等,420.0,3
60,7,4,第一学期,2023-2024,76.2,63.9,83.9,74.7,中等,183.0,3
61,7,5,第二学期,2024-2025,78.1,76.8,99.6,84.8,良好,9.0,3
62,7,11,第二学期,2023-2024,60.8,74.0,98.2,77.7,中等,419.0,3
63,7,9,第二学期,2023-2024,94.7,97.9,65.5,86.0,良好,59.0,3
64,7,12,第二学期,2023-2024,75.0,89.6,54.1,72.9,中等,369.0,3
65,7,1,第一学期,2024-2025,75.0,56.5,89.8,73.8,中等,437.0,3
66,7,13,第二学期,2024-2025,80.8,73.9,93.6,82.8,良好,377.0,3
67,7,7,第二学期,2024-2025,89.7,96.6,79.5,88.6,良好,252.0,3
68,7,8,第二学期,2023-2024,65.2,79.6,86.5,77.1,中等,158.0,3
69,7,10,第二学期,2023-2024,66.5,49.0,70.6,62.0,及格,7.0,3
70,8,10,第二学期,2023-2024,93.3,63.5,86.1,81.0,良好,190.0,3
71,8,9,第二学期,2024-2025,65.3,48.9,59.7,58.0,不及格,407.0,3
72,8,1,第二学期,2023-2024,84.0,84.3,61.7,76.7,中等,469.0,3
73,8,7,第一学期,2023-2024,79.3,73.7,64.1,72.4,中等,182.0,3
74,8,11,第一学期,2024-2025,,89.2,58.8,81.4,良好,56.0,3
75,8,2,第一学期,2023-2024,78.6,60.3,54.3,64.4,及格,96.0,3
76,8,6,第二学期,2024-2025,92.7,57.1,61.7,70.5,中等,466.0,3
77,8,4,第二学期,2023-2024,79.2,88.8,86.7,84.9,良好,350.0,3
78,8,8,第一学期,2024-2025,53.8,57.2,54.9,55.3,不及格,190.0,3
79,9,8,第二学期,2024-2025,88.3,87.6,74.2,83.4,良好,381.0,3
80,9,2,第二学期,2023-2024,93.9,95.3,67.2,85.5,良好,118.0,3
81,9,7,第二学期,2023-2024,76.0,92.6,,86.0,良好,444.0,3
82,9,6,第二学期,2023-2024,95.0,50.7,59.6,68.4,及格,75.0,3
83,9,13,第一学期,2024-2025,63.5,52.2,53.7,56.5,不及格,121.0,3
84,9,3,第一学期,2024-2025,67.7,57.1,60.6,61.8,及格,69.0,3
85,9,4,第二学期,2024-2025,,63.9,85.3,65.5,及格,336.0,3
86,9,12,第二学期,2023-2024,58.5,92.6,52.0,67.7,及格,177.0,3
87,9,5,第二学期,2024-2025,74.1,59.1,84.3,72.5,中等,378.0,3
88,9,9,第一学期,2024-2025,97.8,66.4,68.8,77.7,中等,264.0,3
89,9,11,第二学期,2023-2024,91.6,92.6,93.1,92.4,优秀,217.0,3
90,10,12,第二学期,2023-2024,78.5,88.1,93.0,86.5,良好,92.0,3
91,10,3,第一学期,2023-2024,62.3,74.6,98.1,78.3,中等,443.0,3
92,10,11,第二学期,2023-2024,47.9,64.1,65.5,59.2,不及格,359.0,3
93,10,8,第二学期,2024-2025,56.5,70.5,52.4,59.8,不及格,316.0,3
94,10,2,第一学期,2023-2024,73.3,59.7,62.0,65.0,及格,66.0,3
95,10,1,第一学期,2023-2024,70.4,,50.4,59.5,不及格,327.0,3
96,10,5,第二学期,2024-2025,60.2,82.4,70.2,70.9,中等,176.0,3
97,10,13,第一学期,2024-2025,65.4,73.9,60.1,66.5,及格,274.0,3
98,10,4,第一学期,2023-2024,58.2,47.7,90.9,65.6,及格,112.0,3
99,10,7,第二学期,2024-2025,82.6,54.9,52.9,63.5,及格,322.0,3
100,11,12,第一学期,2023-2024,55.7,64.1,66.3,62.0,及格,102.0,3
101,11,7,第一学期,2024-2025,67.9,84.0,97.7,83.2,良好,79.0,3
102,11,5,第二学期,2024-2025,65.3,48.1,54.2,55.9,不及格,226.0,3
103,11,9,第二学期,2024-2025,45.9,70.8,51.5,56.1,不及格,261.0,3
104,11,10,第二学期,2024-2025,51.5,57.9,98.8,69.4,及格,300.0,3
105,11,8,第二学期,2023-2024,88.2,79.1,91.1,86.1,良好,269.0,3
106,11,4,第一学期,2024-2025,91.2,74.9,61.7,75.9,中等,500.0,3
107,11,1,第二学期,2023-2024,62.2,60.5,88.1,70.3,中等,119.0,3
108,11,11,第二学期,2023-2024,74.0,91.0,74.7,79.9,中等,232.0,3
109,11,6,第二学期,2023-2024,82.1,80.0,74.9,79.0,中等,394.0,3
110,12,4,第二学期,2023-2024,71.2,65.1,71.1,69.1,及格,244.0,3
111,12,2,第一学期,2023-2024,88.9,61.0,82.5,77.5,中等,331.0,3
112,12,8,第二学期,2023-2024,51.3,94.6,98.8,81.6,良好,295.0,3
113,12,12,第二学期,2023-2024,96.6,75.9,63.3,78.6,,45.0,3
114,12,3,第二学期,2024-2025,46.3,87.2,79.9,71.1,中等,265.0,3
115,12,11,第一学期,2024-2025,68.3,55.4,72.9,65.5,及格,93.0,3
116,12,6,第二学期,2023-2024,84.2,71.4,65.2,73.6,中等,372.0,3
117,12,9,第一学期,2024-2025,52.0,57.9,67.3,59.1,不及格,468.0,3
118,13,1,第二学期,2024-2025,56.0,87.4,90.9,78.1,中等,262.0,3
119,13,12,第二学期,2023-2024,84.9,96.6,55.1,78.9,中等,322.0,3
120,13,3,第一学期,2024-2025,46.1,82.2,69.3,65.9,及格,406.0,3
121,13,7,第一学期,2024-2025,61.9,59.1,57.9,59.6,不及格,54.0,3
122,13,11,第一学期,2023-2024,60.5,96.9,97.7,85.0,良好,69.0,3
123,13,2,第二学期,2023-2024,81.1,90.7,55.9,75.9,中等,319.0,3
124,13,4,第二学期,2024-2025,47.4,46.1,96.8,63.4,及格,450.0,3
125,13,9,第二学期,2024-2025,84.4,85.0,66.6,78.7,中等,280.0,3
126,13,6,第二学期,2023-2024,63.1,76.4,61.9,67.1,及格,190.0,3
127,13,10,第二学期,2023-2024,94.1,60.9,83.0,79.3,中等,146.0,3
128,13,5,第一学期,2024-2025,51.7,87.1,89.0,75.9,中等,229.0,3
129,14,10,第一学期,2023-2024,76.9,88.1,94.5,86.5,良好,462.0,3
130,14,6,第二学期,2024-2025,77.7,50.2,58.8,62.2,及格,270.0,3
131,14,4,第二学期,2024-2025,87.3,79.0,89.0,85.1,良好,46.0,3
132,14,11,第二学期,2024-2025,83.6,58.0,89.0,76.9,中等,73.0,3
133,14,5,第二学期,2024-2025,50.8,92.0,,68.0,及格,358.0,3
134,14,3,第一学期,2024-2025,83.6,50.9,65.6,66.7,及格,10.0,3
135,14,12,第一学期,2023-2024,92.4,97.2,72.7,87.4,良好,241.0,3
136,14,1,第一学期,2023-2024,96.6,54.8,71.3,74.2,中等,86.0,3
137,14,7,第二学期,2024-2025,71.9,89.6,75.2,78.9,中等,300.0,3
138,15,7,第二学期,2023-2024,97.4,49.7,82.5,76.5,中等,256.0,3
139,15,10,第二学期,2023-2024,57.8,93.8,75.9,75.8,中等,388.0,3
140,15,3,第一学期,2023-2024,86.2,94.1,71.9,84.1,良好,,3
141,15,13,第一学期,2023-2024,74.0,70.8,57.8,67.5,及格,222.0,3
142,15,2,第二学期,2023-2024,72.1,97.5,97.7,89.1,良好,315.0,3
143,15,8,第一学期,2023-2024,84.0,69.6,63.3,72.3,中等,334.0,3
144,15,5,第一学期,2024-2025,50.2,90.1,59.8,66.7,及格,27.0,3
145,15,4,第二学期,2024-2025,51.2,,94.0,64.0,及格,236.0,3
146,15,11,第一学期,2024-2025,69.8,70.6,51.0,63.8,及格,206.0,3
147,15,1,第二学期,2024-2025,71.1,71.6,58.6,67.1,及格,347.0,3
148,15,12,第二学期,2023-2024,56.0,86.9,70.2,71.0,中等,490.0,3
149,15,9,第二学期,2024-2025,92.6,78.9,81.1,84.2,良好,27.0,3
150,16,8,第二学期,2024-2025,54.1,76.5,86.6,72.4,中等,82.0,3
151,16,9,第二学期,2023-2024,65.7,,79.8,63.8,及格,258.0,3
152,16,10,第二学期,2023-2024,58.2,58.2,69.9,62.1,及格,123.0,3
153,16,7,第一学期,2024-2025,,84.0,60.7,71.9,中等,245.0,3
154,16,2,第一学期,2024-2025,75.7,72.2,67.6,71.8,中等,151.0,3
155,16,12,第二学期,2023-2024,76.8,70.4,95.9,81.0,良好,3.0,3
156,16,11,第一学期,2024-2025,,58.0,65.1,64.5,及格,140.0,3
157,16,6,第一学期,2024-2025,80.4,71.9,80.1,77.5,中等,440.0,3
158,16,5,第二学期,2023-2024,55.4,67.6,67.4,63.5,及格,450.0,3
159,16,13,第一学期,2023-2024,73.0,92.2,78.5,81.2,良好,294.0,3
160,17,7,第一学期,2024-2025,78.3,74.4,66.6,73.1,中等,441.0,3
161,17,8,第一学期,2023-2024,77.4,93.2,65.2,78.6,中等,57.0,3
162,17,6,第二学期,2023-2024,63.9,73.2,60.6,65.9,及格,13.0,3
163,17,3,第一学期,2023-2024,78.5,68.9,59.4,68.9,及格,204.0,3
164,17,11,第一学期,2023-2024,57.4,60.5,50.0,56.0,不及格,192.0,3
165,17,5,第二学期,2023-2024,77.2,80.0,54.5,70.6,中等,193.0,3
166,17,9,第一学期,2024-2025,76.9,60.9,97.3,78.4,中等,121.0,3
167,17,10,第一学期,2024-2025,78.5,75.6,91.7,81.9,良好,117.0,3
168,17,12,第二学期,2023-2024,53.4,,72.4,68.8,及格,245.0,3
169,17,1,第一学期,2024-2025,68.8,76.5,66.0,70.4,中等,219.0,3
170,17,4,第一学期,2023-2024,59.4,85.0,95.9,80.1,良好,275.0,3
171,18,4,第二学期,2024-2025,82.9,68.2,66.8,72.6,中等,36.0,3
172,18,2,第二学期,2023-2024,65.5,77.2,66.1,69.6,及格,307.0,3
173,18,3,第二学期,2024-2025,50.0,76.1,98.5,74.9,中等,137.0,3
174,18,5,第二学期,2024-2025,67.0,90.1,74.3,77.1,中等,456.0,3
175,18,13,第一学期,2024-2025,77.5,51.7,51.4,60.2,及格,418.0,3
176,18,11,第二学期,2023-2024,76.3,56.9,84.3,72.5,中等,283.0,3
177,18,10,第二学期,2023-2024,48.8,82.4,51.5,60.9,及格,253.0,3
178,18,12,第一学期,2024-2025,67.2,72.9,65.1,68.4,及格,305.0,3
179,18,1,第一学期,2024-2025,87.5,71.5,83.3,80.8,良好,439.0,3
180,19,6,第一学期,2024-2025,62.4,97.4,69.4,76.4,,163.0,3
181,19,5,第二学期,2024-2025,92.3,,83.7,75.9,中等,84.0,3
182,19,11,第一学期,2023-2024,46.5,49.5,81.3,59.1,不及格,264.0,3
183,19,7,第一学期,2023-2024,88.0,73.3,51.7,71.0,中等,303.0,3
184,19,3,第二学期,2023-2024,48.4,79.3,75.1,67.6,及格,431.0,3
185,19,2,第一学期,2024-2025,88.6,80.9,82.5,84.0,良好,300.0,3
186,19,9,第二学期,2024-2025,50.8,83.1,66.2,66.7,及格,333.0,3
187,19,12,第一学期,2023-2024,50.6,89.2,72.1,70.6,中等,250.0,3
188,19,4,第一学期,2023-2024,47.9,77.3,66.7,64.0,及格,369.0,3
189,20,5,第二学期,2023-2024,65.0,66.1,51.3,60.8,及格,383.0,3
190,20,8,第二学期,2023-2024,70.6,54.9,91.6,72.4,中等,192.0,3
191,20,9,第一学期,2024-2025,87.4,59.6,73.9,73.6,中等,274.0,3
192,20,3,第一学期,2024-2025,67.8,51.1,92.7,70.5,中等,497.0,3
193,20,7,第二学期,2024-2025,55.2,87.0,94.4,78.9,中等,119.0,3
194,20,2,第一学期,2023-2024,56.4,77.8,94.1,76.1,中等,14.0,3
195,20,12,第一学期,2023-2024,89.6,55.6,62.5,69.2,及格,274.0,3
196,20,4,第一学期,2024-2025,67.5,81.1,81.2,76.6,中等,45.0,3
197,20,10,第一学期,2024-2025,47.7,68.7,52.2,56.2,,487.0,3
198,21,12,第二学期,2024-2025,52.7,77.6,79.8,70.0,中等,307.0,3
199,21,11,第一学期,2024-2025,47.2,73.2,,58.8,不及格,290.0,3
200,21,13,第二学期,2024-2025,91.1,57.4,81.4,76.6,,28.0,3
201,21,2,第二学期,2023-2024,95.7,61.4,69.4,75.5,中等,487.0,3
202,21,6,第二学期,2024-2025,80.8,46.1,63.4,63.4,及格,35.0,3
203,21,3,第二学期,2023-2024,76.6,66.9,72.5,72.0,中等,369.0,3
204,21,1,第二学期,2024-2025,51.3,93.0,85.1,76.5,中等,127.0,3
205,21,8,第二学期,2023-2024,70.5,61.8,81.1,71.1,中等,15.0,3
206,21,5,第二学期,2024-2025,63.3,97.6,97.3,86.1,良好,193.0,3
207,22,6,第二学期,2023-2024,70.2,66.6,91.2,76.0,中等,330.0,3
208,22,9,第一学期,2023-2024,94.6,93.1,91.9,93.2,优秀,260.0,3
209,22,11,第一学期,2023-2024,,86.0,,62.2,及格,357.0,3
210,22,3,第二学期,2024-2025,67.4,93.0,97.2,85.9,良好,141.0,3
211,22,1,第一学期,2023-2024,90.9,45.2,75.3,70.5,中等,270.0,3
212,22,10,第二学期,2024-2025,50.8,47.4,,51.7,不及格,375.0,3
213,22,7,第一学期,2024-2025,46.7,76.4,74.8,66.0,及格,71.0,3
214,22,5,第二学期,2023-2024,94.6,94.4,69.3,86.1,良好,183.0,3
215,22,4,第一学期,2023-2024,95.4,62.3,87.2,81.6,良好,425.0,3
216,22,12,第二学期,2024-2025,75.7,93.8,55.8,75.1,中等,193.0,3
217,22,13,第二学期,2024-2025,,71.9,71.4,74.8,中等,392.0,3
218,23,11,第二学期,2023-2024,81.7,71.0,78.7,77.1,中等,,3
219,23,10,第二学期,2023-2024,74.4,56.2,91.8,74.1,中等,203.0,3
220,23,3,第二学期,2023-2024,72.2,88.9,68.6,76.6,,72.0,3
221,23,13,第一学期,2024-2025,76.8,54.6,89.6,73.7,中等,61.0,3
222,23,7,第二学期,2024-2025,96.6,56.7,60.2,71.2,中等,31.0,3
223,23,1,第一学期,2023-2024,87.4,68.1,97.2,84.2,良好,101.0,3
224,23,9,第二学期,2024-2025,66.6,45.4,97.5,69.8,及格,177.0,3
225,23,8,第一学期,2024-2025,52.9,71.1,78.6,67.5,及格,235.0,3
226,23,5,第一学期,2024-2025,49.5,53.2,94.9,65.9,及格,493.0,3
227,23,2,第一学期,2024-2025,95.3,70.7,79.2,81.7,良好,353.0,3
228,23,4,第二学期,2024-2025,70.0,54.7,82.7,69.1,及格,33.0,3
229,23,6,第一学期,2023-2024,66.8,77.9,54.3,66.3,及格,65.0,3
230,24,1,第二学期,2024-2025,61.0,60.2,76.5,65.9,及格,161.0,3
231,24,5,第二学期,2023-2024,65.3,90.1,54.3,69.9,及格,289.0,3
232,24,8,第一学期,2023-2024,,96.9,55.0,69.1,及格,427.0,3
233,24,10,第二学期,2023-2024,66.5,88.2,88.9,81.2,良好,221.0,3
234,24,11,第一学期,2024-2025,75.5,49.8,61.0,62.1,及格,480.0,3
235,24,12,第二学期,2024-2025,56.7,48.6,87.5,64.3,及格,55.0,3
236,24,9,第二学期,2024-2025,75.2,48.4,75.4,66.3,及格,60.0,3
237,24,13,第一学期,2024-2025,78.2,71.4,70.6,73.4,中等,344.0,3
238,25,10,第二学期,2023-2024,73.2,90.4,94.5,86.0,良好,354.0,3
239,25,8,第二学期,2024-2025,47.9,74.9,74.0,65.6,及格,233.0,3
240,25,5,第二学期,2023-2024,46.4,52.4,91.9,63.6,及格,317.0,3
241,25,13,第二学期,2024-2025,55.5,86.2,74.1,71.9,中等,32.0,3
242,25,4,第二学期,2024-2025,73.4,61.4,95.2,76.7,中等,355.0,3
243,25,1,第二学期,2024-2025,47.6,49.7,50.4,49.2,不及格,23.0,3
244,25,11,第二学期,2024-2025,84.4,65.3,75.4,75.0,中等,152.0,3
245,25,9,第二学期,2023-2024,73.2,85.6,97.5,85.4,良好,190.0,3
246,26,12,第一学期,2023-2024,90.6,65.1,84.3,80.0,良好,258.0,3
247,26,2,第一学期,2024-2025,84.0,54.3,97.6,78.6,中等,420.0,3
248,26,6,第一学期,2024-2025,74.8,68.9,92.2,78.6,中等,427.0,3
249,26,8,第二学期,2023-2024,62.6,52.7,63.7,59.7,不及格,392.0,3
250,26,5,第一学期,2023-2024,83.0,81.5,99.7,88.1,良好,301.0,3
251,26,10,第二学期,2024-2025,53.6,72.8,,67.4,及格,158.0,3
252,26,13,第一学期,2023-2024,83.0,86.5,73.5,81.0,良好,195.0,3
253,26,7,第二学期,2024-2025,46.9,69.8,94.0,70.2,中等,394.0,3
254,26,9,第二学期,2023-2024,,46.3,81.9,73.4,中等,440.0,3
255,26,3,第二学期,2023-2024,51.7,58.6,84.6,65.0,及格,499.0,3
256,27,7,第二学期,2024-2025,88.3,53.8,96.9,79.7,中等,420.0,3
257,27,9,第一学期,2023-2024,46.3,81.2,96.6,74.7,中等,459.0,3
258,27,6,第二学期,2023-2024,48.2,48.6,98.7,65.2,及格,177.0,3
259,27,2,第一学期,2024-2025,86.8,59.2,56.8,67.6,及格,22.0,3
260,27,13,第一学期,2023-2024,67.8,62.9,73.0,67.9,及格,405.0,3
261,27,10,第二学期,2023-2024,68.4,69.7,66.4,68.2,及格,204.0,3
262,27,8,第一学期,2023-2024,47.8,96.4,56.6,66.9,及格,428.0,3
263,27,12,第二学期,2023-2024,92.8,58.9,99.3,83.7,良好,251.0,3
264,27,4,第二学期,2023-2024,96.6,62.9,83.6,81.0,良好,301.0,3
265,27,3,第二学期,2023-2024,75.7,75.7,,80.5,良好,386.0,3
266,27,1,第一学期,2023-2024,52.5,76.6,89.4,72.8,中等,166.0,3
267,28,7,第二学期,2023-2024,87.7,58.6,85.8,77.4,中等,363.0,3
268,28,3,第一学期,2023-2024,90.5,68.9,74.0,77.8,中等,327.0,3
269,28,12,第一学期,2023-2024,56.4,53.2,85.0,64.9,及格,33.0,3
270,28,13,第一学期,2023-2024,97.1,,64.0,69.0,,484.0,3
271,28,6,第一学期,2023-2024,63.8,49.2,62.5,58.5,不及格,247.0,3
272,28,10,第一学期,2023-2024,49.0,47.1,74.0,56.7,不及格,330.0,3
273,28,4,第一学期,2023-2024,59.5,57.6,91.3,69.5,及格,432.0,3
274,28,8,第二学期,2023-2024,65.5,75.0,,69.7,及格,88.0,3
275,28,9,第二学期,2024-2025,61.1,58.6,54.0,57.9,不及格,349.0,3
276,28,1,第二学期,2024-2025,62.0,53.6,85.1,66.9,及格,438.0,3
277,29,11,第一学期,2024-2025,58.2,88.0,72.1,72.8,中等,254.0,3
278,29,13,第二学期,2023-2024,63.9,48.2,87.9,66.7,及格,75.0,3
279,29,7,第二学期,2024-2025,64.0,82.6,99.4,82.0,良好,474.0,3
280,29,9,第一学期,2023-2024,85.7,78.4,68.9,77.7,中等,132.0,3
281,29,6,第二学期,2023-2024,70.4,49.4,83.3,67.7,及格,166.0,3
282,29,12,第一学期,2024-2025,94.1,77.3,62.4,77.9,中等,88.0,3
283,29,4,第二学期,2024-2025,67.7,52.3,71.1,63.7,及格,259.0,3
284,29,2,第二学期,2024-2025,87.0,49.6,76.6,71.1,中等,417.0,3
285,29,3,第一学期,2024-2025,71.8,79.9,89.4,80.4,良好,126.0,3
286,29,8,第一学期,2024-2025,49.2,50.7,81.9,60.6,及格,455.0,3
287,30,10,第二学期,2024-2025,82.3,56.7,75.1,71.4,中等,480.0,3
288,30,12,第二学期,2023-2024,82.5,86.7,66.2,78.5,中等,291.0,3
289,30,7,第一学期,2023-2024,,60.5,58.3,68.5,及格,192.0,3
290,30,5,第一学期,2023-2024,72.9,92.2,56.5,73.9,中等,7.0,3
291,30,3,第二学期,2024-2025,84.1,85.3,78.6,82.7,良好,423.0,3
292,30,4,第二学期,2024-2025,67.2,97.8,90.2,85.1,良好,262.0,3
293,30,9,第一学期,2023-2024,88.5,56.2,75.5,73.4,中等,354.0,3
294,30,2,第二学期,2024-2025,69.3,71.7,90.4,77.1,中等,301.0,3
295,30,8,第一学期,2024-2025,56.6,64.2,76.6,65.8,及格,6.0,3
296,30,6,第二学期,2024-2025,67.3,75.8,78.8,74.0,中等,348.0,3
297,30,13,第一学期,2024-2025,61.8,67.3,52.2,60.4,及格,310.0,3
298,30,11,第一学期,2023-2024,53.3,54.4,69.1,58.9,不及格,211.0,3
299,31,8,第一学期,2024-2025,72.0,88.0,52.2,70.7,中等,123.0,3
300,31,5,第二学期,2024-2025,84.0,47.1,59.8,63.6,及格,497.0,3
301,31,1,第二学期,2023-2024,53.5,60.0,58.0,57.2,不及格,324.0,3
302,31,2,第二学期,2024-2025,90.7,91.1,74.7,85.5,良好,192.0,3
303,31,12,第二学期,2024-2025,,59.3,97.1,76.5,中等,216.0,3
304,31,11,第二学期,2023-2024,81.6,90.5,96.6,89.6,良好,405.0,3
305,31,10,第一学期,2024-2025,61.2,45.5,65.7,57.5,不及格,97.0,3
306,31,3,第二学期,2024-2025,70.6,,78.9,73.4,中等,374.0,3
307,31,13,第二学期,2023-2024,68.6,47.0,91.8,69.1,及格,394.0,3
308,31,7,第二学期,2024-2025,77.6,48.0,,74.6,中等,233.0,3
309,31,6,第一学期,2023-2024,94.6,85.8,75.4,85.3,良好,319.0,3
310,31,9,第一学期,2023-2024,65.0,81.3,70.4,72.2,中等,45.0,3
311,32,5,第二学期,2024-2025,72.2,50.0,81.6,67.9,及格,223.0,3
312,32,8,第一学期,2024-2025,50.1,85.6,57.2,64.3,及格,433.0,3
313,32,2,第二学期,2024-2025,62.7,60.4,96.2,73.1,中等,408.0,3
314,32,6,第一学期,2024-2025,63.8,93.8,60.3,72.6,中等,197.0,3
315,32,13,第一学期,2023-2024,66.6,55.8,54.5,59.0,不及格,316.0,3
316,32,4,第二学期,2024-2025,48.0,95.1,,79.0,中等,123.0,3
317,32,10,第一学期,2024-2025,92.7,83.8,96.3,90.9,,443.0,3
318,32,7,第一学期,2024-2025,52.9,91.0,82.9,75.6,中等,103.0,3
319,32,12,第二学期,2023-2024,91.6,61.4,75.0,76.0,中等,15.0,3
320,32,11,第一学期,2023-2024,47.7,91.8,97.0,78.8,中等,47.0,3
321,32,9,第二学期,2024-2025,74.8,83.9,91.5,83.4,良好,282.0,3
322,33,2,第一学期,2024-2025,61.9,66.6,89.7,72.7,中等,54.0,3
323,33,5,第一学期,2023-2024,62.7,51.5,81.0,65.1,及格,343.0,3
324,33,4,第二学期,2024-2025,87.2,69.3,88.2,81.6,良好,309.0,3
325,33,9,第一学期,2023-2024,66.5,76.6,64.0,69.0,及格,56.0,3
326,33,10,第一学期,2023-2024,66.7,76.0,81.3,74.7,中等,422.0,3
327,33,11,第二学期,2023-2024,74.9,50.1,58.1,61.0,及格,101.0,3
328,33,8,第一学期,2024-2025,52.8,62.9,86.7,67.5,及格,188.0,3
329,33,3,第一学期,2023-2024,75.2,68.2,62.8,68.7,及格,339.0,3
330,34,6,第二学期,2023-2024,67.1,48.5,61.4,59.0,不及格,48.0,3
331,34,4,第一学期,2023-2024,77.9,86.9,83.5,82.8,良好,47.0,3
332,34,8,第二学期,2023-2024,77.4,64.7,52.6,64.9,及格,473.0,3
333,34,2,第一学期,2023-2024,76.6,69.4,72.0,72.7,中等,211.0,3
